drug,type,mechanism,synonyms
"Epirubicin",Chemotherapy,"Anthracycline","Epirubicin,epiribucine,Epiburacine,Epi-adriamycine,Epiadriamycine,Epirubicine, Epirubinicin"
"Eribulin",Chemotherapy,"Microtubule inhibitor","Eribuline, Erubiline"
"Erlotinib",Targeted therapy,"Anti-EGFR",""
"Estramustine",Chemotherapy,"Alkylating","Estracyt"
"Estrogen",Androgen/estrogen deprivation therapy,"Other",""
"Ethinylestradiol",Hormonal therapy,"Androgen inhibitor",""
"Etoposide",Chemotherapy,"Alkaloid",""
"Etoposide (platinum)",Chemotherapy,"Unknown","platinum etoposide"
"Everolimus",Targeted therapy,"mTOR inhibitor",""
"Exemestane",Hormonal therapy,"Aromatase inhibitor","Aromasin,Exemestaan"
"Fluoropyrimidine",Chemotherapy,"Pyrimidine (ant)agonist",""
"Fluorouracil",Chemotherapy,"Pyrimidine (ant)agonist","Tegafur,Teysuno,5-FU,5-Fluorouracil,5-floururacil,5-fluoracil,flouroucil,Flourouracil,Fluoroucil,Fluoracil, 5-flurauracil, 5 Fluoro-uracil,Tysuno(emend),Efudix (Fluorouracil) creme,"tegafur, combinations""
"Fluorouracil, Epirubicin, Cyclophosphamide (FEC)",Chemotherapy,"Pyrimidine (ant)agonist, anthracycline, alkylating","FEC75,FEC,FEC100"
"Fluorouracil, Epirubicin, Cyclophosphamide, Docetaxel (FEC-D)",Chemotherapy,"Pyrimidine (ant)agonist, anthracycline, alkylating, taxane","FEC-D"
"Fluorouracil, Leucovorin Calcium (FU/LV)",Chemotherapy,"Pyrimidine (ant)agonist, folinic acid","FU/LV"
"Fluorouracil/Irinotecan/Leucovorin/Oxaliplatin",Chemotherapy,"Folinic acid, pyrimidine (ant)agonist, topoisomerase inhibitor, platinum","Folfirinox"
"Flutamide",Androgen/estrogen deprivation therapy,"Anti-AR",""
"Folic acid analogues",Chemotherapy,"Folic acid analogues",""
"Fulvestrant",Hormonal therapy,"Anti-ER","Faslodex"
"G1T48",Hormonal therapy,"ER-inhibitor",""
"Gallium(Ga) 68-DOTATATE",Nuclear therapy,"Somatostatin analogue","ga-68 dotatate"
"Gc protein-derived macrophage activating factor",Experimental therapy,"Experimental","Gcmaf"
"GDC or placebo",Randomized trial,"Experimental or placebo","GDC/placebo"
"GDC-0032 or placebo",Randomized trial,"Experimental or placebo","GDC-0032/Placebo"
"Gefitinib",Targeted therapy,"Anti-EGFR","Gefinitib"
"Gemcitabine",Chemotherapy,"Pyrimidine (ant)agonist","Gemicitabine"
"Gimeracil",Chemotherapy,"Pyrimidine (ant)agonist",""
"Goserelin",Androgen/estrogen deprivation therapy,"GnRH (ant)agonist","goserlrine,Zoladex,Gosareline,Zodalex,Goseriline, goselerin,Gosereline because of prostate carcinoma,Gosereline (bolla),Gosereline (Zoladex),gosereline/zoladex,Zoladex (gosereline),Gosereline,gosereline"
"Gosereline (LHRH)",remove,"",""
"Granulocyte-macrophage colony-stimulating factor (GM-CSF)",remove,"","GM CSF"
"GSK3052230",Experimental therapy,"FGFR inhibitor",""
"GSK3174998",Experimental therapy,"Experimental",""
"GSK3359609",Experimental therapy,"Experimental",""
"HDM201",Experimental therapy,"Anti-HDM2","HDM201"
"Hormonal therapy",Hormonal therapy,"Unknown","HTx,hormone therapy"
"Human papillomavirus vaccine (HPV)",Other,"Other","isa-hph vaccinatie"
"Human Vascular Endothelial Growth Factor (hVEGF) vaccine",Experimental therapy,"Experimental","hVEGF vaccine"
"HuMax-AXL-ADC",Targeted therapy,"Experimental","HUMAX-AXL-ADC"
"hVEGF/RFASE",Experimental therapy,"Experimental",""
"Hyperthermia",Hyperthermia,"Hyperthermia","Synergo"
"Hyperthermic Intraperitoneal Chemotherapy (HIPEC)",HIPEC,"HIPEC","HIPEC"
"Hyperthermic Intraperitoneal Chemotherapy (HIPEC) - COLOPEC",HIPEC,"HIPEC","HIPEC-COLOPEC"
"Ibrutinib or placebo",Randomized trial,"Proteine kinase inhibitor or placebo",""
"Ifosfamide",Chemotherapy,"Alkylating",""
"Imatinib",Targeted therapy,"Multikinase inhibitor",""
"INC280",Experimental therapy,"Experimental",""
"Insulin-like growth factor (IGF) inhibitor (study)",Experimental therapy,"Experimental","IGF inhibitor (study)"
"Interferon",Biologic response modifier,"Cytokine","interferon"
"iodine (I) -131",Nuclear therapy,"Other","I-131 5500 MBq, radioactive iodine, 5050 MBq Iodine 131, 5579 MBq Iodine 131, Radioactive iodine, 150 mCi I-131"
"Ipilimumab",Immunotherapy,"Anti-CTLA-4","ipilumab"
"Irinotecan",Chemotherapy,"Topoisomerase inhibitor","irrinotecan, irinitocan"
"ISA101 vaccine",Experimental therapy,"Experimental","Trial drug (ISA101 vaccin)"
"Isocitrate dehydrogenase (IDH) 1 remmer",Experimental therapy,"Anti-IDH1","IDH1 remmer"
"Isolated Limb Perfusion (ILP) right leg",Chemotherapy,"","ILP right leg,Isolated Limb Perfusion, ILP"
"JNJ-63723283",Experimental therapy,"Anti-PD-1",""
"Ketoconazol",remove,"",""
"Lanreotide",Hormonal therapy,"Somatostatin analogue","Somatuline, Somatuline = Lanreotide "
"Lapatinib",Targeted therapy,"Anti-HER2",""
"LEE011 or placebo",Randomized trial,"Experimental or placebo","LEE011/Placebo, LEE0011 or placebo"
"Lenalidomide",Chemotherapy,"Other","Lenalidomide (HOVON 130)"
"Lenvatinib",Targeted therapy,"Multikinase inhibitor",""
"Letrozole",Hormonal therapy,"Aromatase inhibitor","Femara,Letrzozol,lezetrol,Lezotrol,Letrozol"
"Letrozole (+ LEE011 or placebo in Monaleesa trial)",Randomized trial,"Aromatase inhibitor or placebo","Letrozol (+ LEE01/placebo in Monaleesa trial),letrozol in monaleesa study"
"Letrozole, Lapatinib",Hormonal therapy,"Aromatase inhibitor","Letrozol/Lapatinib"
"Leucovorin",Detoxificant,"Folinic acid","folic acid, Folin acid, folinaccid,Foline acid,Foline zuur,folineacid,follincaccid,Folinezuur, folinicacid, Folinic acid"
"Leucovorin, fluorouracil, irinotecan (FOLFIRI)",Chemotherapy,"Folinic acid, pyrimidine (ant)agonist, topoisomerase inhibitor","Folfiri"
"Leucovorin, fluorouracil, oxaliplatin (FOLFOX)",Chemotherapy,"Folinic acid, pyrimidine (ant)agonist, platinum","Folfox"
"Leuprorelin",Androgen/estrogen deprivation therapy,"GnRH (ant)agonist","leuprolin,Leuproline,Eligard,Lucrin,Leurporeline,Leupropreline,leupropeline"
"Lomustine",Chemotherapy,"Alkylating",""
"Lorlatinib",Experimental therapy,"ALK/ROS1 inhibitor","lorlatinib"
"Lucanix",Experimental therapy,"Experimental","Belagenpumatucel-L"
"Lurbinectedin",Experimental therapy,"Alkylating","lerbinictidine, lurbinectedin"
"Luteinizing hormone-releasing hormone (LHRH)",Androgen/estrogen deprivation therapy,"GnRH (ant)agonist","LHRH,LHRH -antagonist,LHRH analoog,LHRH antagonist,LHRH unknown,LHRH-agonist,LHRH-analogue,LHRH-analoog,LHRH agonist,LHRH (Eligard 6 month depot),LHRH analog,LHRH (bolla),LHRH analoge"
"Lutetium (Lu) 177",Nuclear therapy,"Radionuclide","Lutetium 177"
"Lutetium (Lu) 177 - Prostate-specific membrane antigen (PSMA)",Nuclear therapy,"Anti-PSMA","Lutetium-177-PSMA,Lu-PSMA,PSMA-Lu-177,PSMA-Lu,PSMA lutetium"
"Lutetium (Lu) 177 DOTATATE",Nuclear therapy,"Somatostatin analogue","2 lutetium dotatate,Lu-177 octreotate,lu-177-dotatate,Lu-177-octreotate,Lutetium,Lutetium 1770octreotaat,Lutetium-177-Octreotaat,Lu-177-octreotaat,Lu-177-HA-DOTATATE, lutetium-octreotaat,Lutetium-177-Dotataat (PRRT), Lu-177-DOTATAAT"
"Lutetium (Lu) 177- Hydroxyapatite (HA) Peptide Receptor Radionuclide Therapy (PRRT)",Nuclear therapy,"Radionuclide","Lutetium 177-HA (PRRT), PRRT Lu-177"
"LXH254",Experimental therapy,"Experimental","Study15-716; LXH254 1200 mg"
"Margetuximab",Targeted therapy,"HER2 inhibitor","margetuximab"
"Masitinib",Targeted therapy,"Multikinase inhibitor",""
"Mechlorethamine Hydrochloride, Vincristine Sulfate, Procarbazine Hydrochloride, Prednisone (MOPP)",Chemotherapy,"Alkylating, vinca alkaloid, alkylating, glucocorticoid","MOPP"
"Medi0562",Immunotherapy,"Monoclonal antibody",""
"Medroxyprogesterone acetate",Hormonal therapy,"Progestogen","Medroxyprogesterion,medroxyprogesteron, Provera"
"Megestrol",Hormonal therapy,"Progestogen","Megace,megastrolacetaat,Megesterolacetaat,megestra"
"Melphalan",Chemotherapy,"Alkylating","melfalan, TNF+Melfalan, Melfalan + TNFalfa "
"Mesna",Detoxificant,"Other","Mercaptoethaansulfon-acid"
"Metformine",remove,"",""
"Methadone",remove,"",""
"Methotrexate",Chemotherapy,"Antifolate","Methotrexaat,MTX, methotextrate"
"Mitomycin C",Chemotherapy,"Antitumor antibiotic","mitomycin,Mitomycin C bladder instillation,Mitomycine,Mitomycine C,Mitomycine-C,mytomicine,Mytomycin-C,mitomycine by bladder instillation"
"Mitotane",Chemotherapy,"Steroidgenesis inhibitor","mitotaan"
"Mitoxantrone",Chemotherapy,"DNA intercallation","mitoxantrone"
"MIW815X2102",remove,"",""
"MK 5890",Experimental therapy,"Experimental",""
"MSC2490484A",Experimental therapy,"Experimental","DNA-PK Inhibitor MSC2490484A"
"Mucopolysaccharidosis I (MPS I) inhibitor",Experimental therapy,"MPS1 inhibitor","MPS-1 inhibitor"
"Mutant p53 reactivating compound APR-246 (PRIMA-1Met)",Targeted therapy,"PRIMA-1Met",""
"Myeloid Dendritic cells",Experimental therapy,"Immunotherapy","Myeloid Dendritical cells"
"Nab-paclitaxel",Chemotherapy,"Taxane","nab"
"nadroparine",remove,"",""
"Natriumthiosulfaat",remove,"",""
"Neulasta",remove,"",""
"Nilotinib",Targeted therapy,"Bcr-Able kinase inhibitor",""
"Nilutamide",Androgen/estrogen deprivation therapy,"Anti-AR","Anadron,Anandron, niultamide"
"Nintedanib",Targeted therapy,"Multikinase inhibitor","Nintadinib"
"Niraparib",targeted therapy,"PARP inhibitor",""
"Nivolumab",Immunotherapy,"Anti-PD-1","Nivolumab palliative"
"Nivolumab or placebo",Randomized trial,"Anti-PD-1 or placebo","Nivolumab/Placebo,Checkmate sudie (nivolumab vs placebo)"
"Not noted",remove,"",""
"Not specified",remove,"",""
"NY-ESO-1",Immunotherapy,"Cancer-testis antigens (CTA)","NY-ESO tumorantigen"
"Octreotide",Hormonal therapy,"Somatostatin analogue","Octeotride,Sandostatine, Octreotide LAR, Sandostatine LAR"
"oestradiol",remove,"",""
"Olaparib",Targeted therapy,"PARP inhibitor","Maintenance olaparib"
"Olaparib or placebo",Randomized trial,"PARP inhibitor or placebo","Placebo vs olaparib"
"Olaratumab",Targeted therapy,"Anti-PDGFR-α","Olaturamab"
"Olaratumab or placebo",Randomized trial,"Anti-PDGFR-α or placebo","Olaratumab/placebo"
"Orteronel",Hormonal therapy,"Androgen inhibitor","Orteronel (cross over)"
"Orteronel or placebo ",Randomized trial,"Orteronel or placebo","Orteronel / placebo (pt had placebo)"
"Osimertinib",Targeted therapy,"Anti-EGFR","AZD9291, Osirmetinib"
"Oteracil",Chemotherapy,"Pyrimidine (ant)agonist",""
"Ovariectomie",remove,"",""
"Oxaliplatin",Chemotherapy,"Platinum","oxaliplatine,0xaplatin,Oxalisin,Oxaplatin,oxaplatine,oxiplatin,oxlaiplatin, oxalistine"
"Paclitaxel",Chemotherapy,"Taxane","paclicatel, Taxol"
"Palbociclib",Targeted therapy,"CDK4/6 inhibitor","palbocciclib"
"Palbociclib, Fulvestrant",Other,"Other","Palbociclib / faslodex"
"Panitumumab",Targeted therapy,"Anti-EGFR",""
"Pazopanib",Targeted therapy,"Multikinase inhibitor",""
"PD-L1 antibody",Immunotherapy,"Anti-PD-L1",""
"pegfilgrastim",remove,"",""
"Pegylated recombinant human hyaluronidase 20 (PEGPH20)",Experimental therapy,"Experimental","PEGPH20"
"Pembrolizumab",Immunotherapy,"Anti-PD-1","Pembroluzimab"
"Pembrolizumab or placebo",Randomized trial,"Unknown",""
"Pemetrexed",Chemotherapy,"Folate antagonist","Pernetrexed,Alimta, Pemetrexed maintenance, Maintenance pemetrexed"
"Pemetrexed, Carboplatin",Chemotherapy,"Folate antagonist, Platinum","pemetrex carboplatin"
"Peptide Receptor Radionuclide Therapy (PRRT)",Nuclear therapy,"Somatostatin analogue","Peptide Receptor Radionuclide Therapy (PRRT), PRRT, Peptide Receptor Radionuclide Therapie"
"Pertuzumab",Targeted therapy,"Anti-HER2",""
"PF-04518600",Experimental therapy,"Experimental","PF-04518600 (anti-OX40)"
"Pimasertib",Targeted therapy,"MEK inhibitor","pimasertinib"
"placebo",remove,"",""
"platinum",remove,"",""
"Pomalidomide",Chemotherapy,"Immune modulator",""
"Prednisolone",Other,"Glucocorticoid","prednisolon"
"Prednisone",Other,"Glucocorticoid","Prednison"
"Pressurized Intra-Peritoneal Aerosol Chemotherapy (PIPAC)",PIPAC,"PIPAC","pipac (experimental)"
"Procarbazine",Chemotherapy,"Alkylating","procarbazine"
"Procarbazine, Lomustine, Vincristine (PCV)",Chemotherapy,"Alkylating, alkylating, vinca alkaloid","PCV"
"Prostate-specific membrane antigen (PSMA) - Actinium-225 (Ac-225)",Nuclear therapy,"Anti-PSMA","PSMA-Ac-225 radioligand therapy,PSMA-Ac-225 treatment, PSMA-Ac-225"
"Radiofrequency ablation (RFA)",Other,"Radiofrequency ablation","RFA"
"Radium-223",Nuclear therapy,"Radionuclide","Radium 223 chloride,Radium-233,Radium,Xofigo,Ra223,radium-23"
"Radium-223 or placebo",Randomized trial,"Nuclear therapy or placebo","radium or placebo, Radium-223 dichloride/placebo"
"Radius Investigational Drug Elacestrant (RAD1901)",Experimental therapy,"Experimental","RAD1901"
"Ramucirumab",Targeted therapy,"Anti-VEGF","Ramucirimab, ramicirumab, Ramicurimab"
"Ramucirumab or placebo",Randomized trial,"Anti-VEGFR or placebo","RAMUCIRIMAB/placebo, Ramucirimab/placebo"
"Regorafenib",Targeted therapy,"Multikinase inhibitor",""
"Rescuvolin",Detoxificant,"Folinic acid",""
"Rhenium",remove,"",""
"Ribociclib",Targeted therapy,"CDK4/6 inhibitor",""
"Ribociclib or placebo",Randomized trial,"CDK4/6 inhibitor or placebo","study drug (ribocilib or placebo),Placebo OR ribociclib"
"Rilimogene",Experimental therapy,"Experimental",""
"Ritonavir",remove,"",""
"Rituximab",Targeted therapy,"Anti-CD20,MABthera-therapy","MABthera-therapy"
"Rituximab, Cyclophosphamide, Doxorubicin, Vincristine, Prednisolone (R-CHOP)",Multiple therapy,"Anti-CD20, alkylating, anthracycline, vinca alkaloid, glucocorticoid","R-CHOP"
"Rociletinib",Targeted therapy,"Anti-EGFR","rocelitinib, co1686"
"Samarium-153",Nuclear therapy,"Radionuclide","samarium"
"SAR566658",Unknown,"Unknown",""
"Selicrelumab",Unknown,"Unknown","RO7009789 (Selicrelumab)"
"Selinexor",Unknown,"Unknown",""
"Selumetinib",Targeted therapy,"MEK inhibitor","selumetinib"
"SHP-2 inhibitor",Targeted therapy,"Allosteric inhibitor",""
"Sipuleucel-T",Immunotherapy,"Other","Provenge"
"Sirolimus",Other,"Immunosuppressant","sirolimus"
"Somatostatin",Hormonal therapy,"Somatostatin analogue","Somatostatine analog, somatostatine- analogen"
"Sonidegib",Targeted therapy,"Hedgehog pathway inhibitor","LDE225"
"Sorafenib",Targeted therapy,"Multikinase inhibitor",""
"Spartalizumab",Experimental therapy,"Monoclonal antibody",""
"Streptozocin",Chemotherapy,"Alkylating","streptozocine,streptozosine"
"Sunitinib",Targeted therapy,"Multikinase inhibitor","Sunitib,Sutent"
"SYD985",Experimental therapy,"Experimental",""
"Talimogene Laherparepvec (T-VEC)",Experimental therapy,"Oncolytic virus","t-vec, TVEC, T-VEC (Talimogeen)"
"Tamoxifen",Hormonal therapy,"Selective ER modulator","Nolvadex,Tamofixen, Tamoxifen (short switch to Anastozol but switched back due to negative effects) "
"TAS-119",Experimental therapy,"Experimental",""
"Taselisib",Targeted therapy,"PI3K inhibitor","pi3K inhibitor; GDC-0032)"
"Taselisib or placebo",Randomized trial,"PI3K inhibitor or placebo","Placebo/Taselisib"
"Tegafur, Gimeracil, Oteracil (S1)",Chemotherapy,"Pyrimidine (ant)agonist","S1"
"Temozolomide",Chemotherapy,"Alkylating","Temozolamide"
"Teniposide",Chemotherapy,"Alkaloid",""
"Thalidomide",Chemotherapy,"Other","thalodomide"
"Thiotepa",Chemotherapy,"Alkylating",""
"Tim-3 blocker",Targeted therapy,"Tim-3 inhibitor","tim 3 blocker"
