primaryTumorLocation,cancerSubType,biopsySite,biopsyLocation,biopsyType
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"liver","segment 5",Liver
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"liver","segment 6",Liver
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"liver","uk",Liver
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"lung","right",Lung
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"lymph node","para-iliacaal",Lymph node
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"mass ventrale bladder","ventral of bladder",Abdomen/Abdominal wall
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"muscle","back musculature, right side",Muscle
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"pancreas","pancreas",Pancreas
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"peritoneum","left lower abdomen",Peritoneum/Omentum
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"peritoneum","mesenterium",Peritoneum/Omentum
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"peritoneum","na",Peritoneum/Omentum
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"peritoneum","para-umbilicaal right side",Peritoneum/Omentum
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"peritoneum","right lateral of umbilicus",Peritoneum/Omentum
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"peritoneum","right lower abdomen",Peritoneum/Omentum
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"peritoneum","tumor right abdomen",Peritoneum/Omentum
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"peritoneum","upper stomach left",Peritoneum/Omentum
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"primary","gastrointestinal",Stomach
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"primary","stomach",Stomach
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"rectum","proximal",Abdomen/Abdominal wall
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"small pelvic","small pelvic tumor",Bone
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"soft tissue","behind bladder",Abdomen/Abdominal wall
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"soft tissue","peritoneal under liver",Abdomen/Abdominal wall
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"subcutaneous","abdominal wall",(Sub)cutane
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"subcutaneous","left lateral abdomen",(Sub)cutane
Bone/Soft tissue,Leiomyosarcoma,"abdominal wall","left side abdominal wall",Abdomen/Abdominal wall
Bone/Soft tissue,Leiomyosarcoma,"adnex","right",Peritoneum/Omentum
Bone/Soft tissue,Leiomyosarcoma,"bone","costa 9",Bone
Bone/Soft tissue,Leiomyosarcoma,"liver","left lobe",Liver
Bone/Soft tissue,Leiomyosarcoma,"liver","null",Liver
Bone/Soft tissue,Leiomyosarcoma,"liver","segment 2/3",Liver
Bone/Soft tissue,Leiomyosarcoma,"liver","segment 3",Liver
Bone/Soft tissue,Leiomyosarcoma,"liver","segment 4",Liver
Bone/Soft tissue,Leiomyosarcoma,"liver","segment 8",Liver
Bone/Soft tissue,Leiomyosarcoma,"lung","apex left lower lobe",Lung
Bone/Soft tissue,Leiomyosarcoma,"lung","right hemithorax mass",Lung
Bone/Soft tissue,Leiomyosarcoma,"lung","right lung dorsal",Lung
Bone/Soft tissue,Leiomyosarcoma,"lymph node","left retroperitoneal",Lymph node
Bone/Soft tissue,Leiomyosarcoma,"skin","right flank",(Sub)cutane
Bone/Soft tissue,Leiomyosarcoma,"small intestine","para vena pulmonalis",Small intestine
Bone/Soft tissue,Leiomyosarcoma,"soft tissue","musculus gluteus maximus left",Muscle
Bone/Soft tissue,Leiomyosarcoma,"soft tissue","under right rib cage",Thorax/Thorax wall
Bone/Soft tissue,Leiomyosarcoma,"thorax wall","mass left side",Thorax/Thorax wall
Bone/Soft tissue,Liposarcoma,"abdomen","intra-abdominal right, lateral",Abdomen/Abdominal wall
Bone/Soft tissue,Liposarcoma,"omentum","myxoid liposarcoom",Peritoneum/Omentum
Bone/Soft tissue,Liposarcoma,"shoulder","left supraclavicular",(Sub)cutane
Bone/Soft tissue,Osteosarcoma,"bone","crista",Bone
Bone/Soft tissue,Osteosarcoma,"bone","femur left",Bone
Bone/Soft tissue,Osteosarcoma,"liver","segment 3",Liver
Bone/Soft tissue,Osteosarcoma,"lung","lung",Lung
Bone/Soft tissue,Osteosarcoma,"lung","para mediastinal left lower lobe",Lung
Bone/Soft tissue,Rhabdomyosarcoma,"bone","pelvis",Bone
Bone/Soft tissue,Rhabdomyosarcoma,"left scapula","left scapula",Thorax/Thorax wall
Bone/Soft tissue,Sarcoma,"abdomen","abdomen",Abdomen/Abdominal wall
Bone/Soft tissue,Sarcoma,"abdomen","mass para iliacal left",Abdomen/Abdominal wall
Bone/Soft tissue,Sarcoma,"abdomen","suprapubic left paramedian",Abdomen/Abdominal wall
Bone/Soft tissue,Sarcoma,"abdominal wall","abdominal wall right lower abdomen",Abdomen/Abdominal wall
Bone/Soft tissue,Sarcoma,"adrenal gland","left",Adrenal gland
Bone/Soft tissue,Sarcoma,"bone","lesion left collum femoris",Bone
Bone/Soft tissue,Sarcoma,"bone","os pubis",Bone
Bone/Soft tissue,Sarcoma,"breast","left breast",Breast
Bone/Soft tissue,Sarcoma,"chest wall","rib right",Bone
Bone/Soft tissue,Sarcoma,"cutaneous","left upper leg",(Sub)cutane
Bone/Soft tissue,Sarcoma,"fibrosarcoma","right groin; m. rectus femoris",Muscle
Bone/Soft tissue,Sarcoma,"laesie level costa 9","left",Bone
Bone/Soft tissue,Sarcoma,"liver","left lob",Liver
Bone/Soft tissue,Sarcoma,"liver","left lobe",Liver
Bone/Soft tissue,Sarcoma,"liver","metastasis",Liver
Bone/Soft tissue,Sarcoma,"liver","right liver segment 8",Liver
Bone/Soft tissue,Sarcoma,"liver","segment 3",Liver
Bone/Soft tissue,Sarcoma,"liver","segment 4 b",Liver
Bone/Soft tissue,Sarcoma,"liver","segment 6",Liver
Bone/Soft tissue,Sarcoma,"lung","bronchus left anterior/ left lower lobe",Lung
Bone/Soft tissue,Sarcoma,"lung","left lower lobe",Lung
Bone/Soft tissue,Sarcoma,"lung","right lower lobe",Lung
Bone/Soft tissue,Sarcoma,"lung","right pleural lesion",Lung
Bone/Soft tissue,Sarcoma,"lung","right upper lobe",Lung
Bone/Soft tissue,Sarcoma,"lymph node","left inguinal",Lymph node
Bone/Soft tissue,Sarcoma,"muscle","m. erector spinae l.",Muscle
Bone/Soft tissue,Sarcoma,"occiput","metastasis",Bone
Bone/Soft tissue,Sarcoma,"omentum","frontal abdominal wall",Peritoneum/Omentum
Bone/Soft tissue,Sarcoma,"palatum molle","palatum molle",Head and neck
Bone/Soft tissue,Sarcoma,"peritoneum","kidney",Peritoneum/Omentum
Bone/Soft tissue,Sarcoma,"peritoneum","na",Peritoneum/Omentum
Bone/Soft tissue,Sarcoma,"peritoneum","paracolic right",Abdomen/Abdominal wall
Bone/Soft tissue,Sarcoma,"peritoneum","peritonium",Peritoneum/Omentum
Bone/Soft tissue,Sarcoma,"peritoneum","sub umbilical",Peritoneum/Omentum
Bone/Soft tissue,Sarcoma,"primary","musculus deltoideus",Muscle
Bone/Soft tissue,Sarcoma,"primary","nose",Bone
Bone/Soft tissue,Sarcoma,"primary","omental mass, left in lower abdomen",Peritoneum/Omentum
Bone/Soft tissue,Sarcoma,"primary","pelvis",Bone
Bone/Soft tissue,Sarcoma,"salivary gland","left parotid gland",Head and neck
Bone/Soft tissue,Sarcoma,"sarcoma","right upper leg",Muscle
Bone/Soft tissue,Sarcoma,"skin","dorsum right foot (medial, ventral and lateral)",(Sub)cutane
Bone/Soft tissue,Sarcoma,"skin","left upper leg",(Sub)cutane
Bone/Soft tissue,Sarcoma,"skin","right mamma",(Sub)cutane
Bone/Soft tissue,Sarcoma,"soft tissue","abdomen right",Abdomen/Abdominal wall
Bone/Soft tissue,Sarcoma,"soft tissue","abdomen, right side",Abdomen/Abdominal wall
Bone/Soft tissue,Sarcoma,"soft tissue","dorsal right upper leg",Muscle
Bone/Soft tissue,Sarcoma,"soft tissue","prepubis",Bone
Bone/Soft tissue,Sarcoma,"soft tissue","right hemithorax",Thorax/Thorax wall
Bone/Soft tissue,Sarcoma,"soft tissue","right leg",Muscle
Bone/Soft tissue,Sarcoma,"subcateneous","right buttocks",(Sub)cutane
Bone/Soft tissue,Sarcoma,"thorax wall","left",Thorax/Thorax wall
Breast,ER-negative/HER2-positive,"axilla","right",Lymph node
Breast,ER-negative/HER2-positive,"bone","acetabulum right",Bone
Breast,ER-negative/HER2-positive,"bone","lesion buttock left",Bone
Breast,ER-negative/HER2-positive,"brain","left frontal",CNS
Breast,ER-negative/HER2-positive,"hypo-echogenic mass chest wall","left",Thorax/Thorax wall
Breast,ER-negative/HER2-positive,"liver","left lobe",Liver
Breast,ER-negative/HER2-positive,"liver","liver",Liver
Breast,ER-negative/HER2-positive,"liver","right liverlob",Liver
Breast,ER-negative/HER2-positive,"liver","segment 3",Liver
Breast,ER-negative/HER2-positive,"liver","segment 4",Liver
Breast,ER-negative/HER2-positive,"liver","segment 6",Liver
Breast,ER-negative/HER2-positive,"liver","segment vi",Liver
Breast,ER-negative/HER2-positive,"liver","ventral left liver lobe",Liver
Breast,ER-negative/HER2-positive,"lung","right lower lobe",Lung
Breast,ER-negative/HER2-positive,"lymph node","axilla left",Lymph node
Breast,ER-negative/HER2-positive,"lymph node","axilla right",Lymph node
Breast,ER-negative/HER2-positive,"lymph node","axillair",Lymph node
Breast,ER-negative/HER2-positive,"lymph node","left axilla",Lymph node
Breast,ER-negative/HER2-positive,"lymph node","right axilla",Lymph node
Breast,ER-negative/HER2-positive,"lymph node","supraclavicular left",Lymph node
Breast,ER-negative/HER2-positive,"lymph node","supraclavicular right",Lymph node
Breast,ER-negative/HER2-positive,"primary","breast left",Breast
Breast,ER-negative/HER2-positive,"primary","breast",Breast
Breast,ER-negative/HER2-positive,"primary","left brest",Breast
Breast,ER-negative/HER2-positive,"primary","mass behind left nipple",Breast
Breast,ER-negative/HER2-positive,"primary","right breast",Breast
Breast,ER-negative/HER2-positive,"primary","right mamma",Breast
Breast,ER-negative/HER2-positive,"skin","right chest wall",(Sub)cutane
Breast,ER-negative/HER2-positive,"subcutaneous","musculus obbliques externus",(Sub)cutane
Breast,ER-positive/HER2 unknown,"lymph node","right axillary",Lymph node
Breast,ER-positive/HER2 unknown,"lymph node","right breast",Lymph node
Breast,ER-positive/HER2-negative,"abdominal mass","crista iliaca right",Abdomen/Abdominal wall
Breast,ER-positive/HER2-negative,"abdominal wall cutaneous","mamma left caudal",Abdomen/Abdominal wall
Breast,ER-positive/HER2-negative,"adnex","right adnex",Peritoneum/Omentum
Breast,ER-positive/HER2-negative,"adrenal gland","right mamma",Breast
Breast,ER-positive/HER2-negative,"ascites","abdomen",Abdomen/Abdominal wall
Breast,ER-positive/HER2-negative,"bone","acetabulum",Bone
Breast,ER-positive/HER2-negative,"bone","caudal of xifoïd",Bone
Breast,ER-positive/HER2-negative,"bone","corpus th1",Bone
Breast,ER-positive/HER2-negative,"bone","costa 8 right",Bone
Breast,ER-positive/HER2-negative,"bone","dorsal os ileum right",Bone
Breast,ER-positive/HER2-negative,"bone","femur right",Bone
Breast,ER-positive/HER2-negative,"bone","ileum",Bone
Breast,ER-positive/HER2-negative,"bone","left os ilium",Bone
Breast,ER-positive/HER2-negative,"bone","metastasis os ileum right",Bone
Breast,ER-positive/HER2-negative,"bone","null",Bone
Breast,ER-positive/HER2-negative,"bone","os ileum left",Bone
Breast,ER-positive/HER2-negative,"bone","os ileum right",Bone
Breast,ER-positive/HER2-negative,"bone","os ileum sacro iliacaal right",Bone
Breast,ER-positive/HER2-negative,"bone","os ilium left",Bone
Breast,ER-positive/HER2-negative,"bone","os ilium",Bone
Breast,ER-positive/HER2-negative,"bone","os pubis",Bone
Breast,ER-positive/HER2-negative,"bone","pelvis left",Bone
Breast,ER-positive/HER2-negative,"bone","pelvis",Bone
Breast,ER-positive/HER2-negative,"bone","rib 6 right ventral",Bone
Breast,ER-positive/HER2-negative,"bone","right pubic bone",Bone
Breast,ER-positive/HER2-negative,"bone","sacrum left",Bone
Breast,ER-positive/HER2-negative,"bone","sternum left",Bone
Breast,ER-positive/HER2-negative,"bone","sternum",Bone
Breast,ER-positive/HER2-negative,"bone","th 6",Bone
Breast,ER-positive/HER2-negative,"bone","thwk",Bone
Breast,ER-positive/HER2-negative,"bone","vertebrae l5",Bone
Breast,ER-positive/HER2-negative,"breast left","left breast",Breast
Breast,ER-positive/HER2-negative,"breast","right breast",Breast
Breast,ER-positive/HER2-negative,"breast","right side",Breast
Breast,ER-positive/HER2-negative,"cutane lesion","skin lesion on back",(Sub)cutane
Breast,ER-positive/HER2-negative,"cutaneous lesions","skin of the head: left occipital-parietal",(Sub)cutane
Breast,ER-positive/HER2-negative,"endometrium","null",Uterus
Breast,ER-positive/HER2-negative,"iliac","right",Bone
Breast,ER-positive/HER2-negative,"left mamma","left mamma",Breast
Breast,ER-positive/HER2-negative,"liver","|lesion centre in liver",Liver
Breast,ER-positive/HER2-negative,"liver","4a",Liver
Breast,ER-positive/HER2-negative,"liver","caudal right liver lobe",Liver
Breast,ER-positive/HER2-negative,"liver","distal",Liver
Breast,ER-positive/HER2-negative,"liver","hilus",Liver
Breast,ER-positive/HER2-negative,"liver","inferior segment(s)",Liver
Breast,ER-positive/HER2-negative,"liver","laesion",Liver
Breast,ER-positive/HER2-negative,"liver","lateral right",Liver
Breast,ER-positive/HER2-negative,"liver","left liver lob",Liver
Breast,ER-positive/HER2-negative,"liver","left liver lobe",Liver
Breast,ER-positive/HER2-negative,"liver","left liver segment",Liver
Breast,ER-positive/HER2-negative,"liver","left liverlob",Liver
Breast,ER-positive/HER2-negative,"liver","left lob",Liver
Breast,ER-positive/HER2-negative,"liver","left lobe",Liver
Breast,ER-positive/HER2-negative,"liver","left side",Liver
Breast,ER-positive/HER2-negative,"liver","left upper lobe craniaal",Liver
Breast,ER-positive/HER2-negative,"liver","left",Liver
Breast,ER-positive/HER2-negative,"liver","lesion left lever",Liver
Breast,ER-positive/HER2-negative,"liver","lesion segment 5",Liver
Breast,ER-positive/HER2-negative,"liver","liver capsula",Liver
Breast,ER-positive/HER2-negative,"liver","liver left lobe",Liver
Breast,ER-positive/HER2-negative,"liver","liver metastasis",Liver
Breast,ER-positive/HER2-negative,"liver","liver nos",Liver
Breast,ER-positive/HER2-negative,"liver","liver right central",Liver
Breast,ER-positive/HER2-negative,"liver","liver segment 2",Liver
Breast,ER-positive/HER2-negative,"liver","liver segment 3",Liver
Breast,ER-positive/HER2-negative,"liver","liver segment 4b",Liver
Breast,ER-positive/HER2-negative,"liver","liver",Liver
Breast,ER-positive/HER2-negative,"liver","livertop",Liver
Breast,ER-positive/HER2-negative,"liver","metastasis segment v",Liver
Breast,ER-positive/HER2-negative,"liver","metastasis",Liver
Breast,ER-positive/HER2-negative,"liver","most ventral left liver lobe",Liver
Breast,ER-positive/HER2-negative,"liver","not otherwise specified",Liver
Breast,ER-positive/HER2-negative,"liver","not specfied",Liver
Breast,ER-positive/HER2-negative,"liver","not specified",Liver
Breast,ER-positive/HER2-negative,"liver","null",Liver
Breast,ER-positive/HER2-negative,"liver","r lobe",Liver
Breast,ER-positive/HER2-negative,"liver","right live lobe",Liver
Breast,ER-positive/HER2-negative,"liver","right liver lesion",Liver
Breast,ER-positive/HER2-negative,"liver","right liver lobe",Liver
Breast,ER-positive/HER2-negative,"liver","right liverlob",Liver
Breast,ER-positive/HER2-negative,"liver","right liverlobe ventral",Liver
Breast,ER-positive/HER2-negative,"liver","right lob",Liver
Breast,ER-positive/HER2-negative,"liver","right lobe",Liver
Breast,ER-positive/HER2-negative,"liver","right lower lobe",Liver
Breast,ER-positive/HER2-negative,"liver","right upper liver lobe",Liver
Breast,ER-positive/HER2-negative,"liver","right upper lobe",Liver
Breast,ER-positive/HER2-negative,"liver","right",Liver
Breast,ER-positive/HER2-negative,"liver","rigt lob",Liver
Breast,ER-positive/HER2-negative,"liver","segment 2",Liver
Breast,ER-positive/HER2-negative,"liver","segment 2/3 ventral",Liver
Breast,ER-positive/HER2-negative,"liver","segment 2/3",Liver
Breast,ER-positive/HER2-negative,"liver","segment 2/4",Liver
Breast,ER-positive/HER2-negative,"liver","segment 3",Liver
Breast,ER-positive/HER2-negative,"liver","segment 4",Liver
Breast,ER-positive/HER2-negative,"liver","segment 4a",Liver
Breast,ER-positive/HER2-negative,"liver","segment 4b",Liver
Breast,ER-positive/HER2-negative,"liver","segment 5",Liver
Breast,ER-positive/HER2-negative,"liver","segment 5/6",Liver
Breast,ER-positive/HER2-negative,"liver","segment 6 or 4b",Liver
Breast,ER-positive/HER2-negative,"liver","segment 6",Liver
Breast,ER-positive/HER2-negative,"liver","segment 7",Liver
Breast,ER-positive/HER2-negative,"liver","segment 8-4",Liver
Breast,ER-positive/HER2-negative,"liver","segment 8",Liver
Breast,ER-positive/HER2-negative,"liver","segment ii",Liver
Breast,ER-positive/HER2-negative,"liver","segment iv",Liver
Breast,ER-positive/HER2-negative,"liver","segment l3",Liver
Breast,ER-positive/HER2-negative,"liver","segment v-vi",Liver
Breast,ER-positive/HER2-negative,"liver","segment vi",Liver
Breast,ER-positive/HER2-negative,"liver","segment viii",Liver
Breast,ER-positive/HER2-negative,"liver","subcapsulair",Liver
Breast,ER-positive/HER2-negative,"liver","unknown",Liver
Breast,ER-positive/HER2-negative,"liver","ventral liverlobe",Liver
Breast,ER-positive/HER2-negative,"lung","left dorsobasal",Lung
Breast,ER-positive/HER2-negative,"lung","left lower lobe",Lung
Breast,ER-positive/HER2-negative,"lung","null",Lung
Breast,ER-positive/HER2-negative,"lung","parasternally right",Lung
Breast,ER-positive/HER2-negative,"lung","paravertebral left",Lung
Breast,ER-positive/HER2-negative,"lung","pleura",Lung
Breast,ER-positive/HER2-negative,"lymph node","abdominal",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","axilla left",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","axilla right",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","axillair right",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","axillair",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","axillar",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","axillary left",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","high left auxiliary",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","left axilla",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","left axillary",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","left supraclaviculair",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","lowest node axilla right side",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","lymfklier linker axilla",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","lymphe node axillair left side",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","neck left",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","neck right side",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","neck right",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","neck, level v, left",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","neck",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","peritoneum",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","retrosternal",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","right axilla",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","right axillair",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","right axillary",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","right-supraclaviculair",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","right",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","subclavicular right",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","supraclavicula right",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","supraclavicula",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","supraclaviculair right",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","supraclaviculair",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","supraclavicular right side",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","supraclavicular",Lymph node
Breast,ER-positive/HER2-negative,"lymph node","upper arm/chest. not difined left or right",Lymph node
Breast,ER-positive/HER2-negative,"mamma","left",Breast
Breast,ER-positive/HER2-negative,"mamma","mamma right",Breast
Breast,ER-positive/HER2-negative,"mamma","right subcutaneous",Breast
Breast,ER-positive/HER2-negative,"mass axillary","right",Lymph node
Breast,ER-positive/HER2-negative,"mass head","frontal subcutis",(Sub)cutane
Breast,ER-positive/HER2-negative,"mediastinale mass","mediastinale mass",Thorax/Thorax wall
Breast,ER-positive/HER2-negative,"musculus pectoralis major","right lesion",Muscle
Breast,ER-positive/HER2-negative,"neck gland","left",Head and neck
Breast,ER-positive/HER2-negative,"neck","neck",Head and neck
Breast,ER-positive/HER2-negative,"omental cake","omental cake",Peritoneum/Omentum
Breast,ER-positive/HER2-negative,"omentum cake","omentum cake right",Peritoneum/Omentum
Breast,ER-positive/HER2-negative,"parasternaal","parasternal",Lymph node
Breast,ER-positive/HER2-negative,"parasternal","right",Thorax/Thorax wall
Breast,ER-positive/HER2-negative,"pericardium","pericardium",Thorax/Thorax wall
Breast,ER-positive/HER2-negative,"peritoneum","epigastric region",Peritoneum/Omentum
Breast,ER-positive/HER2-negative,"peritoneum","not specified",Peritoneum/Omentum
Breast,ER-positive/HER2-negative,"peritoneum","peritoneum",Peritoneum/Omentum
Breast,ER-positive/HER2-negative,"primary","breast left",Breast
Breast,ER-positive/HER2-negative,"primary","breast right",Breast
Breast,ER-positive/HER2-negative,"primary","breast",Breast
Breast,ER-positive/HER2-negative,"primary","lateral lower quadrant",Breast
Breast,ER-positive/HER2-negative,"primary","left breast",Breast
Breast,ER-positive/HER2-negative,"primary","left lateral",Breast
Breast,ER-positive/HER2-negative,"primary","left mamma",Breast
Breast,ER-positive/HER2-negative,"primary","left mammae",Breast
Breast,ER-positive/HER2-negative,"primary","mamma left",Breast
Breast,ER-positive/HER2-negative,"primary","mamma right",Breast
Breast,ER-positive/HER2-negative,"primary","mamma",Breast
Breast,ER-positive/HER2-negative,"primary","right breast",Breast
Breast,ER-positive/HER2-negative,"primary","right mamma",Breast
Breast,ER-positive/HER2-negative,"primary","upper outer quadrant left breast",Breast
Breast,ER-positive/HER2-negative,"right breast","musculus pectoralis",Muscle
Breast,ER-positive/HER2-negative,"right shoulder","subcutaneous",(Sub)cutane
Breast,ER-positive/HER2-negative,"skin lesion","back right",(Sub)cutane
Breast,ER-positive/HER2-negative,"skin, subcutaneous","lower back left",(Sub)cutane
Breast,ER-positive/HER2-negative,"skin","cutaneous metastasis under right mamma",Breast
Breast,ER-positive/HER2-negative,"skin","left breast",Breast
Breast,ER-positive/HER2-negative,"skin","left mamma",Breast
Breast,ER-positive/HER2-negative,"skin","mamma left",Breast
