gene	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv
USP28	8	17	7	7	6	0.7948	4.3005	4.3005	2.4224
CREBBP	26	75	12	5	18	1.3471	3.1475	3.1475	3.6377
POTEC	7	44	0	0	1	3.447	0	0	1.277
CASP8	4	24	7	1	5	2.5635	7.2921	7.2921	4.7772
RGPD4	12	74	3	1	4	2.8015	1.2499	1.2499	2.8258
BCL9L	8	35	5	0	15	1.8215	4.7311	4.7311	4.8375
C7orf50	3	2	1	0	6	0.4531	2.3074	2.3074	15.6579
ERBB3	14	70	0	0	2	2.0925	0	0	0.8154
MGAT4C	3	37	0	1	4	3.9517	1.0963	1.0963	4.0464
TRIM64B	5	32	1	1	4	3.7615	1.9771	1.9771	4.3278
ZNF98	8	48	5	1	3	3.2374	4.4105	4.4105	2.5718
NOBOX	11	49	5	2	6	2.5313	3.558	3.558	4.0267
RP11-180C1.1	3	15	0	0	2	4.7989	0	0	9.1756
KEAP1	11	40	8	1	4	2.0378	6.5626	6.5626	2.586
KMT2E	11	28	10	2	11	0.7539	2.9385	2.9385	3.3286
MYF6	5	28	0	0	2	3.7469	0	0	3.8781
ACVR1B	7	15	7	3	2	1.1932	7.5264	7.5264	1.6526
AR	12	76	4	0	0	3.1133	2.2163	2.2163	0
MEN1	7	18	5	0	10	1.15	3.9298	3.9298	6.1908
TGFBR1	1	16	9	0	2	2.2676	11.1816	11.1816	1.7357
ACVR2A	7	13	5	2	7	0.9034	3.998	3.998	5.8239
AJUBA	1	17	4	1	5	2.8083	10.9485	10.9485	4.1388
RIC8A	5	4	2	0	8	0.3724	2.6225	2.6225	7.0273
FOXP1	5	21	4	6	4	1.8175	6.3072	6.3072	3.3509
TSC1	6	34	9	1	9	1.9121	5.6004	5.6004	2.8039
PHGR1	4	1	0	0	4	0.304	0	0	22.0798
VCAM1	4	39	0	0	1	3.7538	0	0	0.6151
OR5AR1	1	28	0	0	1	5.332	0	0	1.3715
ZC3H15	7	0	0	0	1	0	0	0	1.1672
MAP2K1	2	25	0	1	4	3.9242	1.552	1.552	4.8759
LEKR1	0	1	2	0	4	0.4233	4.7056	4.7056	15.2263
RET	36	30	0	0	4	0.4652	0	0	1.5781
HLA-B	6	10	5	0	5	1.1197	6.2254	6.2254	6.2475
BIK	3	3	0	0	5	0.8667	0	0	16.4879
C4orf26	6	4	0	0	5	0.5353	0	0	13.4016
SRFBP1	0	18	0	0	4	4.2073	0	0	4.6409
OR4E2	10	21	0	0	2	3.206	0	0	7.3436
ARHGAP35	10	42	9	1	8	1.706	5.2776	5.2776	2.4212
NFKBIA	2	11	1	2	5	2.4177	5.9284	5.9284	8.0619
JAK1	5	25	6	2	8	1.8162	5.5362	5.5362	3.4356
MBD6	5	35	4	0	11	2.0503	3.6404	3.6404	4.8046
KDM5C	12	24	11	1	4	0.8286	4.3729	4.3729	1.2467
TRIM58	14	50	4	2	4	2.2879	3.4638	3.4638	3.8703
LMTK3	20	31	3	2	16	0.8434	2.3907	2.3907	4.7331
TRIM51	4	36	5	0	2	3.6613	5.1094	5.1094	2.1138
SYCP1	10	43	4	3	12	1.5416	1.3461	1.3461	5.8883
MNDA	8	33	1	0	3	3.0996	0.8117	0.8117	3.0859
ZNF771	16	3	0	0	0	0.1222	0	0	0
ZNF728	11	64	4	0	2	2.8586	1.8512	1.8512	1.7598
SMARCD2	3	11	6	1	4	1.3551	7.6097	7.6097	3.2703
FKSG61	0	13	0	0	0	8.7354	0	0	0
MYCT1	7	29	4	0	1	3.6193	4.3169	4.3169	1.8885
HS3ST4	14	30	6	1	4	1.351	6.2379	6.2379	3.5977
NCAM2	12	61	7	5	2	2.519	3.9037	3.9037	1.1091
CYP2R1	7	2	2	3	1	0.1544	3.4909	3.4909	1.0819
FAM133A	5	11	3	0	6	1.0752	2.4934	2.4934	10.2463
SPAM1	9	30	2	0	2	3.1453	2.0073	2.0073	4.5145
RNF111	2	31	5	4	7	2.3042	6.4247	6.4247	2.5345
TPTE	22	64	3	2	5	1.9338	0.8883	0.8883	4.0763
HNRNPA2B1	4	12	1	0	8	1.3778	0.9385	0.9385	8.2897
EPHA2	10	27	5	2	8	1.3923	4.6537	4.6537	3.8283
IRX5	7	15	4	0	4	1.3085	8.7102	8.7102	5.5867
HRAS	0	16	0	0	0	7.3337	0	0	0
ATRX	11	62	16	1	13	1.4724	3.1916	3.1916	2.6668
SMAD2	4	17	9	0	3	1.8268	6.4524	6.4524	2.866
RP11-322L20.1	2	10	2	0	1	5.9591	7.4093	7.4093	5.1232
REM1	3	17	2	0	5	2.2584	3.414	3.414	8.4309
CDH10	26	97	5	1	8	1.7427	1.1015	1.1015	3.8394
NAMPTL	8	39	3	0	5	2.3543	2.5086	2.5086	5.2349
OR10Z1	10	32	3	0	4	2.1527	4.772	4.772	5.5459
LCP2	5	27	3	4	5	2.1976	4.3315	4.3315	4.5336
JUN	4	13	2	0	5	2.0385	7.8714	7.8714	6.6293
DUSP16	4	4	6	0	0	0.3627	6.0596	6.0596	0
NLGN1	6	50	1	0	1	3.1862	0.6519	0.6519	0.6392
PRPS1L1	6	24	0	0	3	2.8447	0	0	4.6672
PRDX4	2	5	3	3	1	1.0755	11.2342	11.2342	1.6179
PPP1R9A	9	52	0	0	3	2.007	0	0	1.0048
SPOCK3	6	38	2	1	2	3.3769	2.0001	2.0001	2.022
COL11A1	53	119	10	7	17	0.7249	0.7778	0.7778	4.0336
NUPL2	2	7	0	0	5	0.9969	0	0	10.8681
HOXC13	5	17	5	0	2	1.7449	11.5473	11.5473	2.519
SYT9	6	38	3	2	2	3.1295	4.4337	4.4337	1.7899
OR2C3	7	30	2	0	2	3.1345	4.6069	4.6069	2.9304
HNRNPL	2	16	0	0	7	2.3015	0	0	5.2477
RPL10L	6	26	0	0	1	3.522	0	0	1.8134
PTOV1	6	13	2	0	7	1.3359	2.0099	2.0099	7.8491
PPFIA2	11	77	6	2	7	2.2875	1.6127	1.6127	2.6928
TMEM246	11	21	0	0	5	1.7749	0	0	6.8656
SF3B1	8	52	0	0	1	2.1191	0	0	0.3645
C9orf40	2	8	2	1	3	1.7008	11.4605	11.4605	6.588
MARCO	11	47	1	0	0	2.708	0.452	0.452	0
RP11-487E13.1	0	11	1	0	0	8.5872	5.4738	5.4738	0
TGFBR2	6	24	3	1	6	2.0926	4.3861	4.3861	4.4665
UNC13C	41	137	8	2	14	1.3953	0.7907	0.7907	3.3218
HIST2H2BE	2	14	0	0	2	4.2251	0	0	6.2059
PSIP1	1	11	3	2	7	1.3122	3.7062	3.7062	5.5594
ZBED3	3	0	0	0	3	0	0	0	5.1337
CNTN6	15	82	3	3	6	2.1178	1.1312	1.1312	2.3849
AC093323.1	2	5	0	0	4	1.9022	0	0	13.0057
USP16	4	14	1	0	6	1.6032	0.9182	0.9182	8.3603
KLHL42	4	6	2	1	5	0.6514	6.0287	6.0287	4.8646
COX4I2	4	9	2	0	4	1.6504	3.1454	3.1454	11.8177
ZFHX4	107	280	15	0	29	1.0965	0.8194	0.8194	3.8049
OR4D10	1	13	2	0	4	2.7468	8.4184	8.4184	5.7625
CNBD1	16	44	1	0	5	1.4666	0.2342	0.2342	4.5839
PAPD5	4	17	5	1	5	1.4536	5.7627	5.7627	3.6401
BAX	1	4	1	0	5	1.2069	2.5372	2.5372	10.7372
UNC80	41	166	9	7	4	1.8536	1.5635	1.5635	0.7716
IDH1	7	33	0	0	0	2.9677	0	0	0
BRSK2	17	12	0	0	5	0.4196	0	0	3.3689
RPL5	0	11	0	2	5	3.0449	4.0865	4.0865	6.1951
DNMT3A	8	29	4	2	8	1.6278	3.4895	3.4895	4.1528
SLC12A8	18	11	0	0	4	0.3604	0	0	2.1489
DKK4	2	2	2	0	4	0.4507	3.8077	3.8077	8.6817
CD58	0	9	2	0	4	2.8438	5.234	5.234	7.611
FLCN	2	11	4	1	4	1.6231	7.7379	7.7379	3.4612
SETD1B	23	50	3	0	19	1.0756	1.0723	1.0723	4.4943
FOXA2	11	23	1	0	7	1.4048	1.4592	1.4592	6.9301
CDH8	30	96	0	1	3	1.5327	0.1815	0.1815	1.3537
RBM10	15	27	7	3	6	0.9244	3.2141	3.2141	2.797
DGKB	14	58	14	4	1	1.7915	3.7148	3.7148	0.4984
CLEC2D	0	14	0	0	1	5.0335	0	0	2.3608
ZPLD1	4	28	1	0	1	3.7659	1.0355	1.0355	1.0255
DAXX	5	16	5	0	6	1.2614	5.4512	5.4512	3.6569
PPP1R17	3	8	1	0	4	1.786	2.4436	2.4436	11.3818
AXIN1	7	23	5	1	5	1.525	5.4418	5.4418	3.1104
VAMP1	1	0	3	0	1	0	9.5319	9.5319	4.0162
PRR16	6	30	1	0	2	3.044	1.3572	1.3572	3.2384
GJA8	9	36	1	0	4	2.3071	1.15	1.15	4.3065
NFKBIZ	7	21	0	0	7	1.4616	0	0	4.5248
KHDRBS2	10	47	2	1	0	2.9504	1.7484	1.7484	0
ZNFX1	8	58	2	0	5	2.6907	1.0199	1.0199	1.1478
SLC6A15	6	38	0	0	2	2.3918	0	0	1.3293
HOXB3	7	17	0	0	6	1.771	0	0	5.8874
NUCKS1	0	4	0	0	5	1.0225	0	0	9.0986
MAGEC3	14	44	7	1	3	1.9986	3.8454	3.8454	2.2694
HIST1H1B	7	16	2	0	3	1.9522	10.3038	10.3038	5.6053
MBOAT1	0	9	4	3	0	2.0383	11.061	11.061	0
LIPT1	0	5	0	0	6	1.1609	0	0	7.6674
GNAI2	3	9	1	1	5	1.5085	4.5475	4.5475	7.0958
PMEPA1	4	5	0	0	5	0.8155	0	0	9.1159
SPEN	28	75	9	2	24	0.9694	1.8037	1.8037	3.3088
KMT2B	31	76	9	2	17	1.077	2.1077	2.1077	3.3161
MYO10	17	71	0	2	5	1.9631	0.476	0.476	1.2397
EDIL3	8	38	5	0	5	2.1302	1.9436	1.9436	4.5081
MYRFL	1	17	0	0	0	4.6683	0	0	0
CEBPE	1	6	2	0	4	1.2821	7.4175	7.4175	7.1946
ERF	9	11	3	0	6	0.7277	3.4567	3.4567	4.9718
TSPAN19	2	16	0	3	1	4.5724	4.3927	4.3927	1.8007
PHF10	1	11	0	0	6	1.7592	0	0	5.4368
TMPRSS11B	4	26	5	3	2	2.4426	5.3941	5.3941	2.0926
TECPR2	16	10	0	0	1	0.2907	0	0	0.2829
NPHS2	6	18	0	3	2	2.6901	4.0613	4.0613	6.1083
FAM166B	7	0	0	1	0	0	0.9678	0.9678	0
KIAA1024	8	42	6	0	2	2.4701	5.1678	5.1678	0.9963
OR51Q1	3	29	1	0	0	4.115	2.7356	2.7356	0
RPL22	2	3	0	0	4	1.1906	0	0	11.745
DDX3X	4	27	6	1	4	2.0816	5.3209	5.3209	2.5153
WBP1	1	3	0	0	5	0.6963	0	0	8.361
CLEC4A	1	9	0	1	4	2.2115	1.4894	1.4894	9.0968
MYOCD	17	69	1	2	4	2.0754	0.8901	0.8901	1.7986
SPOP	3	24	0	0	2	2.8723	0	0	2.4241
RASA1	6	26	4	6	4	1.4925	4.6303	4.6303	1.8616
EP300	9	55	10	3	6	1.8967	3.9747	3.9747	1.2256
CHD8	22	46	11	3	10	0.7316	2.0423	2.0423	1.8963
ZNF395	1	11	4	0	5	1.6294	5.8509	5.8509	4.2487
NFE2L2	4	29	2	0	6	2.2767	1.7084	1.7084	4.3392
ZNF564	18	14	0	0	0	0.3742	0	0	0
PRKG1	7	33	3	3	4	2.3869	3.567	3.567	2.6429
GNA13	3	15	2	1	4	2.185	5.1345	5.1345	4.9451
SUSD4	6	32	2	1	2	3.0277	3.1218	3.1218	1.8824
LINC01098	4	4	4	1	1	1.1785	8.2499	8.2499	4.7055
LRRIQ3	12	47	4	0	5	1.9548	1.2355	1.2355	4.0003
SMAD3	3	14	4	1	3	1.8748	7.5546	7.5546	2.6822
PPP1R8	3	2	3	1	1	0.3611	7.8553	7.8553	1.3486
OR5T2	17	25	2	0	6	1.0065	1.8439	1.8439	7.0541
CLEC14A	16	49	0	0	2	2.0454	0	0	1.6072
HAS2	2	24	0	0	2	3.3044	0	0	1.4687
BCL11A	17	37	1	0	9	1.2066	0.6855	0.6855	5.1929
LUZP2	10	21	3	3	6	1.2421	2.1229	2.1229	5.8925
OR5L1	14	37	0	0	3	1.9673	0	0	3.8292
GATA6	8	14	0	0	8	0.9114	0	0	5.1983
GRIN2A	61	116	1	0	7	1.0326	0.1281	0.1281	1.9811
IFNA2	0	9	3	0	0	4.2537	18.6829	18.6829	0
THEMIS	14	56	4	0	2	2.3921	1.9011	1.9011	1.4777
NBN	4	12	5	2	3	1.2152	5.2063	5.2063	2.7465
ZFHX3	50	83	11	1	20	0.7852	1.6826	1.6826	2.5122
DPPA2	5	20	3	1	4	1.9028	3.1212	3.1212	6.0042
TSPAN7	7	4	0	0	4	0.4938	0	0	7.4713
RP11-127H5.1	0	7	0	1	2	3.9449	2.8324	2.8324	11.9771
VPS9D1	12	5	1	0	4	0.2601	0.5491	0.5491	2.9916
SOX12	0	9	2	0	4	1.9312	11.7097	11.7097	4.6606
CPED1	23	38	0	1	7	0.8225	0.1588	0.1588	3.2787
TGIF2LX	9	26	3	0	1	2.6388	5.3754	5.3754	2.1967
PRKCDBP	6	4	0	0	4	0.4175	0	0	7.1847
OR9Q2	8	26	2	0	1	3.0298	3.8046	3.8046	1.6581
CBX3	4	2	1	0	4	0.4401	1.5717	1.5717	8.9784
LRRN3	4	29	2	0	4	2.7226	2.5066	2.5066	3.3601
AL590867.1	6	21	0	0	2	2.2708	0	0	4.418
ZEB2	10	56	2	0	6	2.1909	1.0083	1.0083	2.2756
KMT2A	21	54	13	1	15	0.8682	2.3416	2.3416	1.8364
TBL3	14	5	0	0	0	0.2226	0	0	0
AC114783.1	2	8	0	0	3	1.9684	0	0	9.8953
PCDH10	37	79	6	0	7	1.2383	1.7132	1.7132	5.1188
PSG6	3	24	6	0	0	3.0915	6.6896	6.6896	0
AL590483.1	3	0	0	0	2	0	0	0	5.051
CA2	8	14	0	0	4	1.3685	0	0	6.7687
RAC1	1	14	0	0	0	5.1913	0	0	0
PPM1D	4	18	7	0	2	1.7603	6.5554	6.5554	1.5653
CCDC88A	9	37	10	4	6	1.2468	3.4105	3.4105	1.5159
CFD	1	8	0	0	4	1.981	0	0	8.1366
TBL1XR1	6	14	4	0	6	1.3136	2.6717	2.6717	5.4231
RPE65	5	22	2	1	5	2.239	2.3824	2.3824	4.4261
LINC00955	3	8	0	0	3	1.9189	0	0	10.9301
PDZRN4	17	75	2	0	1	2.0724	0.5874	0.5874	0.4547
ZNF804A	24	102	7	0	6	1.8183	1.3049	1.3049	2.1254
HORMAD1	2	7	0	0	5	0.9808	0	0	6.457
SPATA8	7	15	1	0	1	3.4186	1.3012	1.3012	5.3301
C1orf172	2	13	2	2	3	1.5926	7.6919	7.6919	3.6243
LPAR4	7	28	3	0	2	2.6758	4.9826	4.9826	1.8704
TAF1L	20	89	12	0	8	1.5668	2.7952	2.7952	2.0948
CDO1	3	14	0	0	2	3.084	0	0	4.2568
ALS2CR11	11	51	6	1	14	1.3863	1.7088	1.7088	3.7398
SLC17A2	5	22	0	0	3	2.0687	0	0	3.3084
ZBTB10	5	32	0	0	2	2.6081	0	0	1.1008
DIRC2	10	5	1	1	4	0.3218	1.3636	1.3636	3.9904
SSB	2	3	0	2	5	0.4352	2.1381	2.1381	5.5555
PID1	8	25	0	2	0	3.2816	3.5297	3.5297	0
KLF3	3	12	3	0	4	1.7236	5.5636	5.5636	4.9156
SNAP29	3	0	2	0	0	0	2.6366	2.6366	0
USP29	27	54	0	0	5	1.129	0	0	2.5072
GLB1L3	4	27	0	0	2	2.45	0	0	1.5302
MTRNR2L9	1	4	0	0	1	6.6798	0	0	19.3758
PRAMEF12	6	26	3	0	0	3.251	4.7035	4.7035	0
SCAF4	5	26	3	1	10	1.354	1.7918	1.7918	4.4654
SRRM1	8	16	0	0	6	0.6468	0	0	3.4126
GAS2L3	0	26	0	0	1	3.7473	0	0	0.6207
ZFPM1	3	8	3	0	6	0.8582	7.3202	7.3202	2.856
CCR10	4	5	4	0	0	0.6344	10.8657	10.8657	0
ZNF358	10	12	0	0	6	0.6116	0	0	5.1769
SRGAP3	15	39	0	0	6	1.4271	0	0	2.3734
FNDC7	3	26	1	0	5	2.5474	0.9323	0.9323	3.3225
DAZAP1	4	8	3	0	5	1.0586	3.2757	3.2757	5.7161
FAT1	35	124	13	2	16	1.4965	2.5091	2.5091	1.4524
SLC16A9	6	18	4	1	4	1.446	4.5848	4.5848	3.8383
ZEB1	12	33	4	0	10	1.072	1.3773	1.3773	4.7116
SLC12A1	10	36	4	2	8	1.5569	2.0885	2.0885	4.0473
C20orf112	9	5	0	0	4	0.3838	0	0	4.9232
MLLT4	7	34	8	2	8	1.4209	3.517	3.517	2.2364
PRAMEF4	8	25	0	0	1	2.6655	0	0	2.0837
TFEC	7	30	1	0	3	2.1289	0.5672	0.5672	4.2788
MAGED2	3	17	0	0	2	2.7906	0	0	3.8123
PAXIP1	18	16	1	1	7	0.464	0.378	0.378	2.844
KCTD8	12	39	3	1	2	2.1231	4.7264	4.7264	1.8759
RABGAP1	5	25	0	0	6	1.6428	0	0	2.7328
ZMYM3	10	32	4	3	9	1.3047	2.8347	2.8347	3.2765
C1QTNF5	1	7	0	0	4	1.5502	0	0	8.463
TMEM200A	9	36	0	0	2	2.336	0	0	1.7477
LTN1	13	31	0	0	8	0.9115	0	0	2.2416
RP11-187E13.1	0	1	0	0	3	0.8966	0	0	14.4959
WIBG	0	3	0	0	4	1.0986	0	0	9.1789
KIAA1257	3	18	0	2	4	2.4001	2.3702	2.3702	5.0009
CNGA1	20	22	0	0	2	0.5269	0	0	1.3016
RAG2	8	25	0	0	5	1.4925	0	0	4.281
SEC24B	6	12	7	1	2	0.6154	3.5111	3.5111	0.7337
TECTB	2	18	1	1	1	4.108	3.8125	3.8125	1.4966
RAB42	0	2	0	0	3	1.4765	0	0	14.0263
CRYBA1	7	0	1	0	0	0	0.7663	0.7663	0
CD1C	4	27	2	0	2	2.9905	1.5261	1.5261	2.896
INSM2	15	8	1	0	3	0.3121	1.0321	1.0321	2.4308
SRGAP1	7	34	0	0	5	1.7302	0	0	1.9912
TOB1	3	10	0	0	5	1.5895	0	0	6.107
SLC26A7	12	30	2	1	7	1.374	1.0178	1.0178	5.1232
CHDC2	7	23	1	0	6	1.3454	0.4209	0.4209	5.0351
ZNF781	2	17	3	0	1	3.615	6.4022	6.4022	1.5346
TST	7	1	2	0	0	0.1002	3.4859	3.4859	0
HIST1H4D	3	13	0	0	2	2.8854	0	0	7.1935
COLEC12	11	35	2	0	7	1.556	0.9526	0.9526	4.4232
PDZD7	3	10	3	2	2	1.1548	7.6076	7.6076	1.8
LRRC6	6	18	4	3	4	1.2373	3.4829	3.4829	3.7975
TM4SF2	6	6	0	0	4	0.6636	0	0	6.8695
RP11-497E19.2	2	6	1	1	2	2.1393	7.6222	7.6222	8.7015
NME8	10	41	6	6	0	2.1808	3.7307	3.7307	0
XKR3	8	25	2	0	4	2.1684	1.626	1.626	4.1994
UBQLNL	6	28	0	0	1	2.6385	0	0	1.0294
SART3	10	8	3	3	0	0.3494	2.271	2.271	0
CACNA2D4	30	36	0	0	2	0.7382	0	0	0.8542
OR2A4	5	0	0	0	0	0	0	0	0
RFXAP	2	1	1	1	2	0.1863	5.7604	5.7604	3.1282
KRTAP26-1	2	21	0	0	1	3.5161	0	0	1.9385
RECK	4	26	3	4	3	2.227	4.997	4.997	1.694
CUL5	2	24	3	2	5	2.5807	3.3734	3.3734	3.0191
IRX3	7	13	0	0	7	0.9866	0	0	5.026
DDX31	13	9	3	2	3	0.3893	2.0181	2.0181	1.6204
RERE	15	33	2	0	14	0.896	0.7101	0.7101	3.9109
SUN3	0	19	1	1	1	4.7695	3.4225	3.4225	1.2887
OR2A25	11	19	2	0	1	2.6272	4.5584	4.5584	3.277
TRIM64C	8	37	3	0	1	2.7897	1.7942	1.7942	1.0991
KCNJ5	3	25	0	0	1	3.2575	0	0	0.9775
STAT3	11	14	3	3	6	0.7258	2.0539	2.0539	3.8628
AVEN	2	12	0	1	5	1.5534	1.1678	1.1678	6.5743
HEPACAM2	12	22	2	2	6	1.1	1.8156	1.8156	5.5537
ZNF212	5	15	1	0	7	1.2224	0.9642	0.9642	5.4145
ZNF292	12	58	9	0	16	1.3742	2.1723	2.1723	2.9049
ZNF257	7	49	3	2	2	2.6058	2.1815	2.1815	1.6188
ATP2B1	6	32	5	3	7	1.6029	3.4445	3.4445	2.5953
PNRC2	1	4	1	0	3	1.7436	3.6239	3.6239	10.5289
UBN1	7	33	5	3	2	1.8792	5.1458	5.1458	0.8981
AC005358.1	13	54	1	2	3	2.1556	1.208	1.208	1.9965
AADAC	3	24	0	0	1	2.9539	0	0	1.1514
U2AF1	2	18	0	0	1	3.4289	0	0	1.9007
MLH1	5	19	6	2	4	1.2762	4.0958	4.0958	2.2953
AKAP13	33	39	5	2	4	0.4629	0.8334	0.8334	0.6674
REG3A	4	11	3	3	0	2.0216	7.9245	7.9245	0
DEFB118	4	13	0	0	2	2.2044	0	0	7.739
FAM129A	11	39	0	0	3	1.6302	0	0	1.5243
OR4P4	5	22	2	0	3	2.247	3.5759	3.5759	4.5819
PABPN1	3	15	0	0	4	1.6083	0	0	5.3797
OC90	7	22	0	0	3	2.0158	0	0	3.0027
SHISA9	10	39	0	2	0	2.7416	2.2379	2.2379	0
AP1S1	3	6	0	0	3	1.7973	0	0	8.7535
PACRG	2	16	1	1	2	3.3405	3.6426	3.6426	3.3659
TCEB3	5	15	0	2	7	0.9591	1.1796	1.1796	5.3887
PAPPA2	54	151	8	1	10	1.3415	0.8742	0.8742	2.7301
KIAA1407	12	24	0	0	5	0.9562	0	0	2.5505
KIF26B	39	108	1	0	3	1.5801	0.2812	0.2812	0.6817
SEC23IP	4	30	0	0	3	2.1385	0	0	1.4644
RRH	1	5	3	1	2	1.2026	8.5007	8.5007	2.6324
RDH13	7	1	0	0	1	0.0951	0	0	1.5811
PRSS37	8	14	0	0	3	1.4422	0	0	6.2612
NPAS4	10	39	1	1	3	2.3831	1.5729	1.5729	1.9551
LRP1B	102	369	25	13	20	1.2669	1.0344	1.0344	2.1789
RASA2	9	14	4	0	5	1.0186	1.9955	1.9955	5.8413
POLR3F	2	0	2	0	1	0	3.0923	3.0923	1.4663
MAGED1	8	29	2	3	2	2.2438	3.5229	3.5229	2.7804
SPAG16	11	47	1	3	2	2.3782	1.4524	1.4524	1.4092
TOP2A	2	32	3	1	7	2.6997	2.5352	2.5352	2.4266
LRRC7	24	99	6	2	7	1.7275	1.2318	1.2318	1.9965
NUFIP1	5	6	0	1	5	0.4574	0.6953	0.6953	5.1082
IL15	3	6	0	0	3	1.4529	0	0	9.085
AC073657.1	0	0	0	0	2	0	0	0	15.6531
RP11-352D3.2	0	5	0	0	1	5.8564	0	0	10.0892
ASB11	1	8	0	0	4	1.7222	0	0	5.9974
PLG	20	46	6	5	2	1.5632	3.0748	3.0748	2.1026
ATF7IP	8	29	2	4	10	1.079	2.1869	2.1869	3.4887
CTCF	6	20	3	1	6	1.2747	2.8887	2.8887	4.2558
TMEM184C	3	0	0	0	0	0	0	0	0
NEK1	11	32	0	0	3	0.8446	0	0	1.0649
AC007461.1	0	2	1	0	2	1.3258	12.4839	12.4839	12.6081
