gene	chromosome	strand	start	end	geneSegmentType
TRAJ23	14	+	22989394	22989456	J
TRAJ22	14	+	22991016	22991078	J
TRAJ21	14	+	22992573	22992627	J
TRAJ20	14	+	22993296	22993352	J
TRAJ19	14	+	22994233	22994292	J
TRAJ18	14	+	22994620	22994685	J
TRAJ17	14	+	22995812	22995874	J
TRAJ16	14	+	22997487	22997546	J
TRAJ14	14	+	22999278	22999329	J
TRAJ13	14	+	23000026	23000088	J
TRAJ12	14	+	23000889	23000948	J
TRAJ11	14	+	23001452	23001511	J
TRAJ10	14	+	23002445	23002508	J
TRAJ9	14	+	23004502	23004562	J
TRAJ8	14	+	23005092	23005151	J
TRAJ7	14	+	23006567	23006625	J
TRAJ6	14	+	23008016	23008077	J
TRAJ5	14	+	23009190	23009249	J
TRAJ4	14	+	23011142	23011204	J
TRAJ3	14	+	23012122	23012183	J
TRAJ2	14	+	23013015	23013080	J
TRAJ1	14	+	23013981	23014042	J
TRAC	14	+	23016447	23021097	C
IGHA2	14	-	106053226	106054732	A
IGHE	14	-	106064224	106068065	E
IGHG4	14	-	106090687	106092403	G
IGHG2	14	-	106109389	106111127	G
IGHA1	14	-	106173457	106175002	A
IGHG1	14	-	106202680	106209408	G
IGHG3	14	-	106235439	106237742	G
IGHD	14	-	106303099	106312010	D
IGHM	14	-	106320349	106322323	M
IGHJ6	14	-	106329408	106329468	J
IGHJ5	14	-	106330024	106330072	J
IGHJ4	14	-	106330425	106330470	J
IGHJ3	14	-	106330797	106330845	J
IGHJ2	14	-	106331409	106331460	J
IGHJ1	14	-	106331617	106331668	J
IGHD7-27	14	-	106331761	106331771	D
IGHD1-26	14	-	106346892	106346911	D
IGHD6-25	14	-	106347397	106347414	D
IGHD5-24	14	-	106349761	106349780	D
IGHD4-23	14	-	106350728	106350746	D
IGHD3-22	14	-	106351889	106351919	D
IGHD2-21	14	-	106354409	106354436	D
IGHD1-20	14	-	106357049	106357065	D
IGHD6-19	14	-	106357557	106357577	D
IGHD5-18	14	-	106359400	106359419	D
IGHD4-17	14	-	106360366	106360381	D
IGHD3-16	14	-	106361492	106361528	D
IGHD2-15	14	-	106363815	106363845	D
IGHD1-14	14	-	106366496	106366512	D
IGHD6-13	14	-	106367000	106367020	D
IGHD5-12	14	-	106368507	106368529	D
IGHD4-11	14	-	106369474	106369489	D
IGHD3-10	14	-	106370355	106370385	D
IGHD3-9	14	-	106370539	106370569	D
IGHD2-8	14	-	106373069	106373099	D
IGHD1-7	14	-	106375766	106375782	D
IGHD6-6	14	-	106376269	106376286	D
IGHD5-5	14	-	106378116	106378135	D
IGHD4-4	14	-	106379081	106379096	D
IGHD3-3	14	-	106380218	106380248	D
IGHD2-2	14	-	106382685	106382715	D
IGHD1-1	14	-	106385361	106385377	D
IGHV6-1	14	-	106405611	106406108	V
IGHV1-2	14	-	106452671	106453170	V
IGHV1-3	14	-	106471246	106471723	V
IGHV4-4	14	-	106478110	106478603	V
IGHV2-5	14	-	106494135	106494597	V
IGHV3-6	14	-	106511782	106512231	V
IGHV3-7	14	-	106518400	106518932	V
IGHV3-11	14	-	106573233	106573800	V
IGHV1-12	14	-	106579014	106579303	V
IGHV3-13	14	-	106586137	106586667	V
IGHV1-14	14	-	106602580	106602820	V
IGHV3-15	14	-	106610313	106610852	V
IGHV3-16	14	-	106621894	106622419	V
IGHV1-17	14	-	106631031	106631449	V
IGHV1-18	14	-	106641563	106642056	V
IGHV3-19	14	-	106653371	106653661	V
IGHV3-20	14	-	106667581	106668095	V
IGHV3-21	14	-	106691673	106692203	V
IGHV3-22	14	-	106714360	106714821	V
IGHV3-23	14	-	106725201	106725733	V
IGHV1-24	14	-	106733144	106733639	V
IGHV3-25	14	-	106745623	106746073	V
IGHV2-26	14	-	106757650	106758116	V
IGHV7-27	14	-	106774086	106774499	V
IGHV4-28	14	-	106780513	106781017	V
IGHV3-29	14	-	106787368	106787804	V
IGHV3-30	14	-	106791005	106791536	V
IGHV3-30-2	14	-	106800319	106800757	V
IGHV4-31	14	-	106805209	106805716	V
IGHV3-32	14	-	106812091	106812517	V
IGHV3-33	14	-	106815722	106816253	V
IGHV3-33-2	14	-	106825038	106825477	V
IGHV4-34	14	-	106829594	106830076	V
IGHV7-34-1	14	-	106833231	106833664	V
IGHV3-35	14	-	106845323	106845789	V
IGHV3-36	14	-	106848685	106849142	V
IGHV3-37	14	-	106852588	106853026	V
IGHV3-38	14	-	106866406	106866934	V
IGHV4-39	14	-	106877619	106878126	V
IGHV7-40	14	-	106881270	106881468	V
IGHV3-41	14	-	106899044	106899493	V
IGHV3-42	14	-	106919183	106919483	V
IGHV3-43	14	-	106926188	106926724	V
IGHV1-45	14	-	106962931	106963424	V
IGHV1-46	14	-	106967049	106967788	V
IGHV3-47	14	-	106974509	106974954	V
IGHV3-48	14	-	106993814	106994346	V
IGHV3-49	14	-	107012938	107013477	V
IGHV3-50	14	-	107022105	107022543	V
IGHV5-51	14	-	107034729	107035221	V
IGHV8-51-1	14	-	107039493	107039794	V
IGHV3-52	14	-	107042360	107042810	V
IGHV3-53	14	-	107048672	107049341	V
IGHV3-54	14	-	107057358	107057795	V
IGHV4-55	14	-	107062111	107062561	V
IGHV7-56	14	-	107065772	107066206	V
IGHV3-57	14	-	107074907	107075186	V
IGHV1-58	14	-	107078373	107078869	V
IGHV4-59	14	-	107081806	107083830	V
IGHV3-60	14	-	107087202	107087658	V
IGHV4-61	14	-	107095126	107095662	V
IGHV3-62	14	-	107099145	107099588	V
IGHV3-63	14	-	107108252	107108696	V
IGHV3-64	14	-	107113741	107114274	V
IGHV3-65	14	-	107122108	107122548	V
IGHV3-66	14	-	107131033	107131560	V
IGHV1-67	14	-	107136620	107137059	V
IGHV1-68	14	-	107159869	107160163	V
IGHV1-69	14	-	107169931	107170428	V
IGHV2-70D	14	-	107178820	107179338	V
IGHV3-71	14	-	107183396	107183857	V
IGHV3-72	14	-	107198932	107199471	V
IGHV3-73	14	-	107210932	107211471	V
IGHV3-74	14	-	107218676	107219365	V
IGHV3-75	14	-	107231917	107232377	V
IGHV3-76	14	-	107236097	107236391	V
IGHV5-78	14	-	107259338	107259632	V
IGHV3-79	14	-	107275873	107276304	V
IGHV4-80	14	-	107281000	107281252	V
IGHV7-81	14	-	107282792	107283280	V
IGKC	2	-	89156674	89157196	C
IGKJ5	2	-	89160080	89160117	J
IGKJ4	2	-	89160398	89160434	J
IGKJ3	2	-	89160733	89160770	J
IGKJ2	2	-	89161037	89161074	J
IGKJ1	2	-	89161398	89161435	J
IGKV4-1	2	+	89184913	89185669	V
IGKV5-2	2	+	89196748	89197300	V
IGKV7-3	2	-	89214597	89214894	V
IGKV2-4	2	-	89231184	89231898	V
IGKV1-5	2	-	89246819	89247475	V
IGKV1-6	2	-	89265781	89266286	V
IGKV3-7	2	-	89277987	89278600	V
IGKV1-8	2	-	89291928	89292450	V
IGKV1-9	2	-	89309479	89310012	V
IGKV2-10	2	-	89319489	89320183	V
IGKV3-11	2	-	89326668	89327228	V
IGKV1-12	2	-	89339721	89340242	V
IGKV1-13	2	-	89345492	89345963	V
IGKV2-14	2	-	89377506	89378280	V
IGKV3-15	2	-	89384673	89385283	V
IGKV1-16	2	-	89399352	89399854	V
IGKV1-17	2	-	89416833	89417335	V
IGKV2-18	2	-	89428207	89428966	V
IGKV2-19	2	-	89434458	89434740	V
IGKV3-20	2	-	89442057	89442643	V
IGKV6-21	2	-	89459235	89459850	V
IGKV1-22	2	-	89470259	89470696	V
IGKV2-23	2	-	89471506	89472037	V
IGKV2-24	2	-	89475812	89476644	V
IGKV3-25	2	-	89491988	89492240	V
IGKV2-26	2	-	89495584	89496317	V
IGKV1-27	2	-	89512908	89513413	V
IGKV2-28	2	-	89521179	89521942	V
IGKV2-29	2	-	89533655	89534393	V
IGKV2-30	2	-	89544264	89545079	V
IGKV3-31	2	-	89551697	89552222	V
IGKV1-32	2	-	89553057	89553501	V
IGKV1-33	2	-	89567758	89568263	V
IGKV3-34	2	-	89575056	89575545	V
IGKV1-35	2	-	89586446	89586730	V
IGKV2-36	2	-	89594990	89595212	V
IGKV1-37	2	-	89597021	89597542	V
IGKV2-38	2	-	89609655	89609901	V
IGKV1-39	2	-	89619383	89619904	V
IGKV2-40	2	-	89629873	89630186	V
IGKV2D-40	2	+	89890601	89891307	V
IGKV1D-39	2	+	89901292	89901791	V
IGKV2D-38	2	+	89911273	89911512	V
IGKV1D-37	2	+	89923550	89924026	V
IGKV2D-36	2	+	89925832	89926057	V
IGKV1D-35	2	+	89934312	89934582	V
IGKV3D-34	2	+	89945567	89946056	V
IGKV1D-33	2	+	89952792	89953355	V
IGKV1D-32	2	+	89967232	89967677	V
IGKV3D-31	2	+	89968511	89969012	V
IGKV2D-30	2	+	89975669	89976489	V
IGKV2D-29	2	+	89986322	89987079	V
IGKV2D-28	2	+	89998789	89999564	V
IGKV1D-27	2	+	90007677	90008154	V
IGKV2D-26	2	+	90024732	90025512	V
IGKV3D-25	2	+	90028797	90029031	V
IGKV2D-24	2	+	90043607	90044439	V
IGKV2D-23	2	+	90048212	90048737	V
IGKV1D-22	2	+	90049551	90049994	V
IGKV6D-21	2	+	90060377	90060995	V
IGKV3D-20	2	+	90077680	90078311	V
IGKV2D-19	2	+	90085628	90085889	V
IGKV2D-18	2	+	90091427	90092218	V
IGKV6D-41	2	+	90108504	90109080	V
IGKV1D-17	2	+	90121477	90122133	V
IGKV1D-16	2	+	90139078	90139580	V
IGKV3D-15	2	+	90153696	90154258	V
IGKV2D-14	2	+	90160638	90161416	V
IGKV1D-13	2	+	90192768	90193424	V
IGKV1D-12	2	+	90198535	90199190	V
IGKV3D-11	2	+	90211643	90212253	V
IGKV2D-10	2	+	90218730	90219428	V
IGKV1D-42	2	+	90229045	90229531	V
IGKV1D-43	2	+	90248739	90249395	V
IGKV1D-8	2	+	90259593	90260248	V
IGKV3D-7	2	-	90537839	90538397	V
TRGC2	7	-	38279181	38289173	C
TRGJ2	7	-	38292981	38293030	J
TRGJP2	7	-	38295938	38295997	J
TRGC1	7	-	38297480	38305279	C
TRGJ1	7	-	38309092	38309141	J
TRGJP	7	-	38313188	38313248	J
TRGJP1	7	-	38315860	38315919	J
TRGV11	7	-	38331217	38331679	V
TRGVB	7	-	38335364	38335834	V
TRGV10	7	-	38339412	38339923	V
TRGV9	7	-	38356618	38358462	V
TRGVA	7	-	38362047	38362331	V
TRGV8	7	-	38369944	38370536	V
TRGV7	7	-	38374642	38375115	V
TRGV6	7	-	38380301	38380599	V
TRGV5	7	-	38388956	38389623	V
TRGV4	7	-	38393316	38394118	V
TRGV3	7	-	38398113	38398763	V
TRGV2	7	-	38402465	38403119	V
TRGV1	7	-	38407187	38407770	V
TRBV1	7	+	141999017	141999300	V
TRBV2	7	+	142000747	142001255	V
TRBV3-1	7	+	142008365	142008871	V
TRBV4-1	7	+	142013007	142013489	V
TRBV5-1	7	+	142020496	142021363	V
TRBV6-1	7	+	142028121	142028610	V
TRBV7-1	7	+	142032006	142032527	V
TRBV4-2	7	+	142045252	142045816	V
TRBV5-7	7	-	142111393	142111859	V
TRBV7-7	7	-	142119820	142120321	V
TRBV6-8	7	-	142124137	142124565	V
TRBV5-6	7	-	142131412	142131918	V
TRBV7-6	7	-	142139278	142139815	V
TRBV6-7	7	-	142143652	142144084	V
TRBV5-5	7	-	142148928	142149399	V
TRBV7-5	7	-	142157378	142157849	V
TRBV6-6	7	-	142161931	142162407	V
TRBV5-4	7	-	142168380	142169045	V
TRBV7-4	7	-	142176329	142176790	V
TRBV6-5	7	-	142180515	142181016	V
TRBV12-2	7	-	142190638	142191080	V
TRBV11-2	7	-	142197570	142198069	V
TRBV10-2	7	-	142206511	142207011	V
TRBV12-1	7	-	142216290	142216732	V
TRBV11-1	7	-	142223820	142224284	V
TRBV10-1	7	-	142231573	142232090	V
TRBV9	7	-	142239537	142240058	V
TRBV5-3	7	-	142242281	142242747	V
TRBV8-2	7	-	142245303	142245572	V
TRBV7-3	7	-	142247109	142247615	V
TRBV6-4	7	-	142250703	142251158	V
TRBV5-2	7	-	142259059	142259331	V
TRBV8-1	7	-	142273056	142273334	V
TRBV19	7	+	142326363	142327046	V
TRBV20-1	7	+	142334163	142334913	V
TRBV21-1	7	+	142344427	142344887	V
TRBV22-1	7	+	142349249	142349699	V
TRBV23-1	7	+	142353468	142353964	V
TRBV24-1	7	+	142364198	142364710	V
TRBC1	7	+	142378572	142379076	C
TRBVA	7	+	142389237	142389691	V
TRBV26	7	+	142403511	142403995	V
TRBVB	7	+	142419212	142419752	V
TRBV27	7	+	142423173	142423688	V
TRBV28	7	+	142428484	142428984	V
TRBV29-1	7	+	142448053	142448741	V
TRBJ2-1	7	+	142494049	142494098	J
TRBJ2-2	7	+	142494244	142494294	J
TRBJ2-2P	7	+	142494381	142494426	J
TRBJ2-3	7	+	142494531	142494579	J
TRBJ2-4	7	+	142494682	142494731	J
TRBJ2-5	7	+	142494803	142494850	J
TRBJ2-6	7	+	142494923	142494975	J
TRBJ2-7	7	+	142495140	142495186	J
TRBC2	7	+	142498725	142500432	C
TRBV30	7	-	142510271	142511084	V
IGKDEL	2	-	88832222	88833331	J
IGKINTR	2	-	88859633	88859697	V
