gene	chromosome	strand	start	end	geneSegmentType
TRAV18	14	+	22003106	22003673	V
TRAV19	14	+	22007512	22008181	V
TRAV20	14	+	22040594	22041153	V
TRAV21	14	+	22052514	22053056	V
TRAV22	14	+	22070557	22071208	V
TRAV23DV6	14	+	22086407	22086961	V
TRDV1	14	+	22096032	22096619	V
TRAV24	14	+	22105343	22105846	V
TRAV25	14	+	22112347	22113031	V
TRAV26-1	14	+	22123318	22124285	V
TRAV8-7	14	+	22132553	22133034	V
TRAV27	14	+	22147995	22148633	V
TRAV28	14	+	22155079	22155638	V
TRAV29DV5	14	+	22163238	22163870	V
TRAV30	14	+	22168429	22168988	V
TRAV31	14	+	22177273	22177864	V
TRAV32	14	+	22185562	22186057	V
TRAV33	14	+	22190158	22190713	V
TRAV26-2	14	+	22202583	22203368	V
TRAV34	14	+	22207522	22208129	V
TRAV35	14	+	22221896	22222475	V
TRAV36DV7	14	+	22226746	22227254	V
TRAV37	14	+	22265749	22266264	V
TRAV38-1	14	+	22271968	22272563	V
TRAV38-2DV8	14	+	22281105	22281748	V
TRAV39	14	+	22304054	22304553	V
TRAV40	14	+	22314490	22314919	V
TRAV41	14	+	22320188	22320691	V
TRDV2	14	+	22422371	22423042	V
TRDJ1	14	+	22450089	22450139	J
TRDJ4	14	+	22455249	22455296	J
TRDJ2	14	+	22456689	22456742	J
TRDJ3	14	+	22459098	22459156	J
TRDC	14	+	22462932	22465787	C
TRDV3	14	-	22469041	22469698	V
TRAJ61	14	+	22475316	22475375	J
TRAJ60	14	+	22476306	22476362	J
TRAJ59	14	+	22476553	22476606	J
TRAJ58	14	+	22477707	22477769	J
TRAJ57	14	+	22478872	22478934	J
TRAJ56	14	+	22479521	22479582	J
TRAJ55	14	+	22481697	22481753	J
TRAJ54	14	+	22482287	22482346	J
TRAJ53	14	+	22483004	22483069	J
TRAJ52	14	+	22486228	22486296	J
TRAJ51	14	+	22487183	22487245	J
TRAJ50	14	+	22488593	22488652	J
TRAJ49	14	+	22489488	22489543	J
TRAJ48	14	+	22490491	22490553	J
TRAJ47	14	+	22492851	22492907	J
TRAJ46	14	+	22493403	22493465	J
TRAJ45	14	+	22493925	22493990	J
TRAJ44	14	+	22494821	22494883	J
TRAJ43	14	+	22495913	22495966	J
TRAJ42	14	+	22496887	22496952	J
TRAJ41	14	+	22497657	22497718	J
TRAJ40	14	+	22499689	22499749	J
TRAJ39	14	+	22501601	22501663	J
TRAJ38	14	+	22502231	22502292	J
TRAJ37	14	+	22503750	22503814	J
TRAJ36	14	+	22505110	22505167	J
TRAJ35	14	+	22506644	22506702	J
TRAJ34	14	+	22507666	22507723	J
TRAJ33	14	+	22508602	22508658	J
TRAJ32	14	+	22509341	22509406	J
TRAJ31	14	+	22510968	22511024	J
TRAJ30	14	+	22512852	22512908	J
TRAJ29	14	+	22513939	22513998	J
TRAJ28	14	+	22515623	22515688	J
TRAJ27	14	+	22516273	22516331	J
TRAJ26	14	+	22518446	22518505	J
TRAJ25	14	+	22518812	22518871	J
TRAJ24	14	+	22519969	22520031	J
TRAJ23	14	+	22520416	22520478	J
TRAJ22	14	+	22522040	22522102	J
TRAJ21	14	+	22523600	22523654	J
TRAJ20	14	+	22524325	22524381	J
TRAJ19	14	+	22525263	22525322	J
TRAJ18	14	+	22525650	22525715	J
TRAJ17	14	+	22526844	22526906	J
TRAJ16	14	+	22528527	22528586	J
TRAJ14	14	+	22530327	22530378	J
TRAJ13	14	+	22531076	22531138	J
TRAJ12	14	+	22531939	22531998	J
TRAJ11	14	+	22532502	22532561	J
TRAJ10	14	+	22533497	22533560	J
TRAJ9	14	+	22535554	22535614	J
TRAJ8	14	+	22536145	22536204	J
TRAJ7	14	+	22537622	22537680	J
TRAJ6	14	+	22539073	22539134	J
TRAJ5	14	+	22540247	22540306	J
TRAJ4	14	+	22542199	22542261	J
TRAJ3	14	+	22543179	22543240	J
TRAJ2	14	+	22544071	22544136	J
TRAJ1	14	+	22545037	22545098	J
TRAC	14	+	22547506	22552156	C
IGHA2	14	-	105583731	105588395	A
IGHE	14	-	105597691	105601728	E
IGHG4	14	-	105620506	105626066	G
IGHG2	14	-	105639559	105644790	G
IGHA1	14	-	105703995	105708665	A
IGHG1	14	-	105736343	105743071	G
IGHG3	14	-	105764503	105771405	G
IGHD	14	-	105836765	105845677	D
IGHM	14	-	105851705	105856218	M
IGHJ6	14	-	105863198	105863258	J
IGHJ5	14	-	105863814	105863862	J
IGHJ4	14	-	105864215	105864260	J
IGHJ3	14	-	105864587	105864635	J
IGHJ2	14	-	105865199	105865250	J
IGHJ1	14	-	105865407	105865458	J
IGHD7-27	14	-	105865551	105865561	D
IGHD1-26	14	-	105881034	105881053	D
IGHD6-25	14	-	105881539	105881556	D
IGHD5-24	14	-	105883903	105883922	D
IGHD4-23	14	-	105884870	105884888	D
IGHD3-22	14	-	105886031	105886061	D
IGHD2-21	14	-	105888551	105888578	D
IGHD1-20	14	-	105891191	105891207	D
IGHD6-19	14	-	105891699	105891719	D
IGHD5-18	14	-	105893542	105893561	D
IGHD4-17	14	-	105894508	105894523	D
IGHD3-16	14	-	105895634	105895670	D
IGHD2-15	14	-	105897957	105897987	D
IGHD1-14	14	-	105900638	105900654	D
IGHD6-13	14	-	105901142	105901162	D
IGHD5-12	14	-	105902649	105902671	D
IGHD4-11	14	-	105903616	105903631	D
IGHD3-10	14	-	105904497	105904527	D
IGHD3-9	14	-	105904681	105904711	D
IGHD2-8	14	-	105907211	105907241	D
IGHD1-7	14	-	105909907	105909923	D
IGHD6-6	14	-	105910410	105910427	D
IGHD5-5	14	-	105912257	105912276	D
IGHD4-4	14	-	105913222	105913237	D
IGHD3-3	14	-	105914359	105914389	D
IGHD2-2	14	-	105916826	105916856	D
IGHD1-1	14	-	105919502	105919518	D
IGHV6-1	14	-	105939756	105940253	V
IGHV1-2	14	-	105986582	105987083	V
IGHV1-3	14	-	106005095	106005574	V
IGHV4-4	14	-	106011922	106012420	V
IGHV7-4-1	14	-	106025145	106025630	V
IGHV2-5	14	-	106037902	106038365	V
IGHV3-6	14	-	106055549	106055998	V
IGHV3-7	14	-	106062151	106062683	V
IGHV3-64D	14	-	106088122	106088573	V
IGHV5-10-1	14	-	106107972	106108464	V
IGHV3-11	14	-	106116635	106117204	V
IGHV1-12	14	-	106122420	106122709	V
IGHV3-13	14	-	106129540	106130072	V
IGHV1-14	14	-	106145891	106146131	V
IGHV3-15	14	-	106153624	106154163	V
IGHV3-16	14	-	106165205	106165730	V
IGHV1-17	14	-	106174342	106174760	V
IGHV1-18	14	-	106184901	106185394	V
IGHV3-19	14	-	106196700	106196990	V
IGHV3-20	14	-	106210936	106211453	V
IGHV3-21	14	-	106235064	106235594	V
IGHV3-22	14	-	106257762	106258223	V
IGHV3-23	14	-	106268606	106269140	V
IGHV1-24	14	-	106276548	106277043	V
IGHV3-25	14	-	106289029	106289479	V
IGHV2-26	14	-	106301396	106301862	V
IGHV7-27	14	-	106317823	106318236	V
IGHV4-28	14	-	106324254	106324760	V
IGHV3-32	14	-	106331106	106331563	V
IGHV3-30	14	-	106335082	106335613	V
IGHV3-30-2	14	-	106344385	106344833	V
IGHV4-31	14	-	106349283	106349792	V
IGHV3-29	14	-	106356145	106356591	V
IGHV3-33	14	-	106359793	106360324	V
IGHV3-33-2	14	-	106369107	106369546	V
IGHV4-34	14	-	106373663	106374145	V
IGHV7-34-1	14	-	106377300	106377733	V
IGHV3-35	14	-	106389392	106389858	V
IGHV3-36	14	-	106392774	106393231	V
IGHV3-37	14	-	106396676	106397114	V
IGHV3-38	14	-	106410493	106411021	V
IGHV4-39	14	-	106421711	106422218	V
IGHV7-40	14	-	106425359	106425654	V
IGHV3-41	14	-	106443133	106443583	V
IGHV3-42	14	-	106463256	106463691	V
IGHV3-43	14	-	106470264	106470800	V
IGHV1-45	14	-	106506996	106507491	V
IGHV1-46	14	-	106511117	106511856	V
IGHV3-47	14	-	106518582	106519027	V
IGHV3-48	14	-	106537810	106538344	V
IGHV3-49	14	-	106556936	106557477	V
IGHV3-50	14	-	106566117	106566555	V
IGHV5-51	14	-	106578744	106579236	V
IGHV8-51-1	14	-	106583501	106583807	V
IGHV3-52	14	-	106586376	106586826	V
IGHV3-53	14	-	106592676	106593347	V
IGHV3-54	14	-	106601346	106601792	V
IGHV4-55	14	-	106606101	106606551	V
IGHV7-56	14	-	106609762	106610196	V
IGHV3-57	14	-	106618894	106619173	V
IGHV1-58	14	-	106622357	106622855	V
IGHV4-59	14	-	106627249	106627825	V
IGHV3-60	14	-	106631197	106631653	V
IGHV4-61	14	-	106639119	106639657	V
IGHV3-62	14	-	106643142	106643585	V
IGHV3-63	14	-	106652237	106652681	V
IGHV3-64	14	-	106657725	106658258	V
IGHV3-65	14	-	106666092	106666532	V
IGHV3-66	14	-	106675017	106675544	V
IGHV1-67	14	-	106680603	106681042	V
IGHV1-68	14	-	106703846	106704286	V
IGHV1-69	14	-	106714684	106715181	V
IGHV2-70D	14	-	106723574	106724093	V
IGHV3-69-1	14	-	106728163	106728615	V
IGHV1-69-2	14	-	106737110	106737547	V
IGHV1-69D	14	-	106762092	106762588	V
IGHV2-70	14	-	106770577	106771020	V
IGHV3-71	14	-	106775157	106775618	V
IGHV3-72	14	-	106790694	106791233	V
IGHV3-73	14	-	106802694	106803233	V
IGHV3-74	14	-	106810442	106811131	V
IGHV3-75	14	-	106823687	106824147	V
IGHV3-76	14	-	106827869	106828163	V
IGHV5-78	14	-	106851123	106851417	V
IGHV3-79	14	-	106867660	106868092	V
IGHV4-80	14	-	106872783	106873186	V
IGHV7-81	14	-	106874583	106875071	V
IGKC	2	-	88857161	88857683	C
IGKJ5	2	-	88860568	88860605	J
IGKJ4	2	-	88860886	88860922	J
IGKJ3	2	-	88861221	88861258	J
IGKJ2	2	-	88861525	88861563	J
IGKJ1	2	-	88861886	88861923	J
IGKV4-1	2	+	88885397	88886153	V
IGKV5-2	2	+	88897232	88897784	V
IGKV7-3	2	-	88915081	88915378	V
IGKV2-4	2	-	88931666	88932380	V
IGKV1-5	2	-	88947301	88947957	V
IGKV1-6	2	-	88966262	88966767	V
IGKV3-7	2	-	88978468	88979081	V
IGKV1-8	2	-	88992409	88992931	V
IGKV1-9	2	-	89009982	89010515	V
IGKV2-10	2	-	89019992	89020686	V
IGKV3-11	2	-	89027171	89027731	V
IGKV1-12	2	-	89040224	89040745	V
IGKV1-13	2	-	89045995	89046466	V
IGKV2-14	2	-	89078010	89078784	V
IGKV3-15	2	-	89085177	89085787	V
IGKV1-16	2	-	89099859	89100361	V
IGKV1-17	2	-	89117342	89117844	V
IGKV2-18	2	-	89128724	89129483	V
IGKV2-19	2	-	89134975	89135257	V
IGKV3-20	2	-	89142574	89143160	V
IGKV6-21	2	-	89159751	89160366	V
IGKV1-22	2	-	89170775	89171212	V
IGKV2-23	2	-	89172022	89172553	V
IGKV2-24	2	-	89176328	89177160	V
IGKV3-25	2	-	89192500	89192752	V
IGKV2-26	2	-	89196096	89196829	V
IGKV1-27	2	-	89213423	89213928	V
IGKV2-28	2	-	89221698	89222461	V
IGKV2-29	2	-	89234174	89234912	V
IGKV2-30	2	-	89244781	89245596	V
IGKV3-31	2	-	89252211	89252736	V
IGKV1-32	2	-	89253571	89254015	V
IGKV1-33	2	-	89268001	89268506	V
IGKV3-34	2	-	89275298	89275787	V
IGKV1-35	2	-	89286689	89286973	V
IGKV2-36	2	-	89295233	89295455	V
IGKV1-37	2	-	89297264	89297785	V
IGKV2-38	2	-	89309898	89310144	V
IGKV1-39	2	-	89319625	89320146	V
IGKV2-40	2	-	89330116	89330429	V
IGKV2D-40	2	+	89851791	89852493	V
IGKV1D-39	2	+	89862482	89862981	V
IGKV2D-38	2	+	89872463	89872702	V
IGKV1D-37	2	+	89884740	89885216	V
IGKV2D-36	2	+	89887022	89887247	V
IGKV1D-35	2	+	89895502	89895772	V
IGKV3D-34	2	+	89906757	89907246	V
IGKV1D-33	2	+	89913982	89914545	V
IGKV1D-32	2	+	89928422	89928867	V
IGKV3D-31	2	+	89929701	89930202	V
IGKV2D-30	2	+	89936859	89937679	V
IGKV2D-29	2	+	89947512	89948269	V
IGKV2D-28	2	+	89959979	89960748	V
IGKV1D-27	2	+	89968867	89969335	V
IGKV2D-26	2	+	89985922	89986702	V
IGKV3D-25	2	+	89989987	89990221	V
IGKV2D-24	2	+	90004797	90005629	V
IGKV2D-23	2	+	90009402	90009927	V
IGKV1D-22	2	+	90010741	90011184	V
IGKV6D-21	2	+	90021567	90022185	V
IGKV3D-20	2	+	90038848	90039479	V
IGKV2D-19	2	+	90046796	90047057	V
IGKV2D-18	2	+	90052581	90053372	V
IGKV6D-41	2	+	90069662	90070238	V
IGKV1D-17	2	+	90082635	90083291	V
IGKV1D-16	2	+	90100236	90100738	V
IGKV3D-15	2	+	90114838	90115402	V
IGKV2D-14	2	+	90121786	90122564	V
IGKV1D-13	2	+	90154073	90154574	V
IGKV1D-12	2	+	90159840	90160335	V
IGKV3D-11	2	+	90172802	90173414	V
IGKV2D-10	2	+	90179889	90180587	V
IGKV1D-42	2	+	90190193	90190681	V
IGKV1D-43	2	+	90209873	90210529	V
IGKV1D-8	2	+	90220727	90221384	V
IGKV3D-7	2	+	90234812	90235370	V
TRGC2	7	-	38239580	38249572	C
TRGJ2	7	-	38253380	38253429	J
TRGJP2	7	-	38256337	38256396	J
TRGC1	7	-	38257879	38265678	C
TRGJ1	7	-	38269491	38269540	J
TRGJP	7	-	38273587	38273647	J
TRGJP1	7	-	38276259	38276318	J
TRGV11	7	-	38291616	38292078	V
TRGVB	7	-	38295763	38296233	V
TRGV10	7	-	38299811	38300322	V
TRGV9	7	-	38317017	38318861	V
TRGVA	7	-	38322446	38322730	V
TRGV8	7	-	38330343	38330935	V
TRGV7	7	-	38335041	38335514	V
TRGV6	7	-	38340700	38340998	V
TRGV5	7	-	38349355	38350022	V
TRGV4	7	-	38353715	38354517	V
TRGV3	7	-	38358512	38359162	V
TRGV2	7	-	38362864	38363518	V
TRGV1	7	-	38367586	38368169	V
TRBV1	7	+	142299177	142299460	V
TRBV2	7	+	142300924	142301432	V
TRBV3-1	7	+	142308542	142309048	V
TRBV4-1	7	+	142313184	142313666	V
TRBV5-1	7	+	142320677	142321544	V
TRBV6-1	7	+	142328297	142328786	V
TRBV7-1	7	+	142332182	142332701	V
TRBV4-2	7	+	142345421	142345985	V
TRBV6-2	7	+	142349152	142349664	V
TRBV7-2	7	+	142352819	142353358	V
TRBV8-1	7	+	142358639	142358917	V
TRBV5-2	7	+	142372640	142372912	V
TRBV6-4	7	+	142380806	142381261	V
TRBV7-3	7	+	142384329	142384841	V
TRBV8-2	7	+	142386378	142386647	V
TRBV5-3	7	+	142389202	142389668	V
TRBV9	7	+	142391891	142392412	V
TRBV10-1	7	+	142399860	142400377	V
TRBV11-1	7	+	142407672	142408136	V
TRBV12-1	7	+	142415224	142415666	V
TRBV10-2	7	+	142424965	142425465	V
TRBV11-2	7	+	142433895	142434394	V
TRBV12-2	7	+	142440883	142441325	V
TRBV6-5	7	+	142450947	142451448	V
TRBV7-4	7	+	142455174	142455635	V
TRBV5-4	7	+	142462916	142463581	V
TRBV6-6	7	+	142469537	142470013	V
TRBV7-5	7	+	142474096	142474567	V
TRBV5-5	7	+	142482548	142483019	V
TRBV6-7	7	+	142487863	142488295	V
TRBV7-6	7	+	142492132	142492673	V
TRBV5-6	7	+	142500028	142500534	V
TRBV6-8	7	+	142507382	142507810	V
TRBV7-7	7	+	142511626	142512127	V
TRBV5-7	7	+	142520090	142520556	V
TRBV7-9	7	+	142529290	142529762	V
TRBV13	7	+	142535809	142536292	V
TRBV10-3	7	+	142544212	142544685	V
TRBV11-3	7	+	142554836	142555318	V
TRBV12-3	7	+	142560423	142560931	V
TRBV12-4	7	+	142563740	142564245	V
TRBV12-5	7	+	142580917	142581427	V
TRBV14	7	+	142587868	142588359	V
TRBV15	7	+	142592928	142593473	V
TRBV16	7	+	142598016	142598469	V
TRBV17	7	+	142601628	142602360	V
TRBV18	7	+	142615716	142616415	V
TRBV19	7	+	142618849	142619532	V
TRBV20-1	7	+	142626649	142627399	V
TRBV21-1	7	+	142636924	142637384	V
TRBV22-1	7	+	142641746	142642196	V
TRBV23-1	7	+	142645961	142646467	V
TRBV24-1	7	+	142656701	142657213	V
TRBV25-1	7	+	142670740	142671244	V
TRBVA	7	+	142681415	142681869	V
TRBV26	7	+	142695699	142696183	V
TRBVB	7	+	142711384	142711924	V
TRBV27	7	+	142715346	142715861	V
TRBV28	7	+	142720660	142721160	V
TRBV29-1	7	+	142740206	142740894	V
TRBD1	7	+	142786213	142786224	D
TRBJ1-1	7	+	142786880	142786927	J
TRBJ1-2	7	+	142787017	142787064	J
TRBJ1-3	7	+	142787630	142787679	J
TRBJ1-4	7	+	142788225	142788275	J
TRBJ1-5	7	+	142788498	142788547	J
TRBJ1-6	7	+	142788988	142789040	J
TRBC1	7	+	142791694	142793368	C
TRBJ2-1	7	+	142796365	142796414	J
TRBJ2-2	7	+	142796560	142796610	J
TRBJ2-2P	7	+	142796697	142796742	J
TRBJ2-3	7	+	142796847	142796895	J
TRBJ2-4	7	+	142796998	142797047	J
TRBJ2-5	7	+	142797119	142797166	J
TRBJ2-6	7	+	142797239	142797291	J
TRBJ2-7	7	+	142797456	142797502	J
TRBC2	7	+	142801041	142802748	C
TRBV30	7	-	142812586	142813399	V
IGKDEL	2	-	88832222	88833331	J
IGKINTR	2	-	88859633	88859697	V
