mut_type	mut_type_2	ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID9	ID10	ID11	ID12	ID13	ID14	ID15	ID16	ID17	ID18
2:Del:R:5	del.2.rep.6+	3.31E-18	4.67E-18	0.000101239	0.002382721	0.02142678	0.000215685	0.057046331	0.000833079	5.41E-18	8.42E-18	0.004527713	0.251519845	6.63E-05	4.37E-05	6.58E-18	2.64E-18	3.89E-08	0
3:Del:R:0	del.3.rep.1	0.000128045	1.25E-05	0.000589124	0.005068954	0.01713637	0.001051047	0.000625412	0.010964101	0.002858095	0.001200259	0.000189442	0.007599859	0.003039667	0.001146659	6.58E-18	0.001060141	0.008558573	0.004008016
3:Del:R:1	del.3.rep.2	0.005011085	0.005003258	0.000372386	0.097114466	0.005909794	0.005413653	0.011689003	0.001348867	0.00430191	0.042709211	0.000390863	0.000569429	0.001186963	0.004840165	6.58E-18	0.002325923	0.002445446	0.006012024
3:Del:R:2	del.3.rep.3	0.000769383	0.002289891	9.63E-05	0.021484282	0.00084271	0.000536054	0.005474849	0.000376571	0.001275717	0.005061091	0.000170422	0.002680339	0.000384379	0.001053481	9.35E-05	0.001150375	3.41E-08	0
3:Del:R:3	del.3.rep.4	0.000371256	0.000402587	2.45E-05	0.003837627	0.000621155	4.70E-05	0.003456748	0.000253509	0.00030211	0.002730589	0.000127576	0.005920051	6.90E-05	0.000249605	6.58E-18	0.000120553	1.99E-08	0
3:Del:R:4	del.3.rep.5	3.31E-18	3.97E-18	3.82E-06	0.000786295	0.005867075	7.31E-05	0.000492537	2.68E-06	5.41E-18	8.42E-18	0.001202108	0.068622143	3.09E-06	9.19E-18	6.58E-18	1.61E-05	2.13E-08	0
3:Del:R:5	del.3.rep.6+	3.31E-18	3.95E-18	3.83E-07	0.001138609	0.008378911	0.000150616	0.000436589	9.10E-05	5.41E-18	8.42E-18	0.001742363	0.097480944	9.96E-05	9.19E-18	6.58E-18	9.58E-06	4.51E-08	0
4:Del:R:0	del.4.rep.1	9.97E-05	1.21E-05	0.000177645	0.007252429	0.010791265	0.002315098	0.000130877	0.006691309	0.001432774	0.001470317	9.08E-18	0.001734516	0.002155349	0.000193687	6.58E-18	0.000698912	0.006109585	0.004008016
4:Del:R:1	del.4.rep.2	0.000900503	0.002115787	0.000634573	0.06352373	0.002843569	0.002806729	0.003396804	0.001622955	0.004594217	0.000521112	0.000355504	0.002302595	2.30E-05	0.000617337	6.58E-18	0.000426296	1.55E-08	0.002004008
4:Del:R:2	del.4.rep.3	3.23E-06	0.000543292	0.000116799	0.014548922	0.000164644	0.00047449	0.002777387	0.000272623	0.000896024	7.50E-05	9.08E-18	0.000611679	7.92E-05	0.000524295	6.58E-18	7.83E-05	3.83E-08	0
4:Del:R:3	del.4.rep.4	3.31E-18	7.27E-06	4.12E-18	0.004554752	0.003877814	0.000291345	0.000439586	2.88E-05	2.38E-05	0.000132028	0.000312137	0.039259058	3.92E-05	5.03E-05	1.39E-06	2.64E-18	1.46E-08	0
4:Del:R:4	del.4.rep.5	3.31E-18	3.95E-18	4.12E-18	0.000849679	0.004557254	0.000110576	0.00020181	9.73E-05	5.41E-18	8.42E-18	0.000687366	0.053287873	9.47E-06	7.73E-06	6.58E-18	2.63E-06	3.19E-09	0
4:Del:R:5	del.4.rep.6+	2.89E-05	0.000210413	2.83E-06	0.00061078	0.001584436	5.68E-05	0.000250764	6.34E-06	1.37E-05	0.000209045	0.000157603	0.018644449	6.30E-05	9.19E-18	1.76E-06	2.64E-18	4.44E-09	0
5:Del:R:0	del.5+.rep.1	8.35E-06	3.85E-05	0.001776785	0.004132826	0.018447949	0.019333291	8.55E-05	0.237978863	0.000772052	0.0013903	0.001281454	0.003382885	0.020097536	0.006086814	0.000284018	0.00556879	0.023396376	0.024048096
5:Del:R:1	del.5+.rep.2	0.000190676	0.002977512	7.41E-05	0.015718533	0.000410335	0.007501825	0.003476729	0.000572257	0.000479551	0.026205652	0.000474634	0.002797035	0.002980534	0.000314462	6.58E-18	0.000110241	1.92E-08	0
5:Del:R:2	del.5+.rep.3	0.000126355	0.000397525	2.78E-06	0.002343845	0.000470925	0.000370524	0.0011689	0.000516838	0.000264969	0.001770382	9.08E-18	0.005103842	6.99E-05	2.13E-05	6.58E-18	1.54E-05	4.86E-08	0
5:Del:R:3	del.5+.rep.4	1.89E-05	0.000158151	4.12E-18	0.00118248	0.000257167	0.000168175	0.000406617	8.16E-06	6.12E-06	0.00013703	9.08E-18	0.002200952	6.40E-06	2.85E-05	1.25E-06	6.73E-06	3.43E-08	0
5:Del:R:4	del.5+.rep.5	3.11E-06	8.47E-05	4.37E-05	0.000146923	9.73E-05	5.32E-05	0.000125882	0.000112898	7.25E-06	0.000125027	9.08E-18	0.001256186	1.46E-06	1.50E-05	6.58E-18	2.67E-07	9.21E-09	0
5:Del:R:5	del.5+.rep.6+	3.13E-05	2.12E-05	3.82E-06	0.000106174	0.000585018	1.15E-05	2.08E-05	4.43E-05	2.99E-05	0.001120242	8.18E-08	0.00618126	2.35E-06	9.08E-05	1.74E-06	2.63E-18	3.34E-08	0
2:Ins:R:0	ins.2.rep.0	0.000402036	0.000331853	0.00263595	0.000492922	0.006349454	0.001998387	3.04E-05	0.00191671	0.001162339	0.025305458	0.000190467	0.007440331	0.010618411	0.023942256	6.58E-18	0.002191793	0.034379414	0
2:Ins:R:1	ins.2.rep.1	7.88E-06	0.000271665	0.002242683	0.000553302	0.018387642	0.000208533	0.000397626	0.001661816	0.002100192	0.038908392	9.08E-18	0.001062301	0.001801368	0.000123773	6.58E-18	0.001087848	0.058508649	0
2:Ins:R:2	ins.2.rep.2	0.000221347	0.001035341	0.000955604	0.000266335	0.007207952	0.000790414	7.01E-05	0.000304586	0.000760941	0.026205652	0.000247885	0.000550238	0.000688524	0.001114199	6.58E-18	0.000729932	0.063694193	0
2:Ins:R:3	ins.2.rep.3	0.000514268	0.000381326	0.000897238	0.000137794	0.001172292	0.000499074	0.003147039	0.000177583	0.000351635	0.00028006	0.000372356	0.000165525	0.000743544	0.000871483	6.58E-18	9.48E-05	0.009762713	0.002004008
2:Ins:R:4	ins.2.rep.4	0.0029131	0.001977423	0.000253085	7.19E-05	6.88E-05	0.000189469	0.00182828	1.66E-05	3.07E-05	8.42E-18	0.000442384	0.001018206	0.000213354	0.002973978	6.58E-18	0.000131664	3.84E-09	0
2:Ins:R:5	ins.2.rep.5+	0.018121584	0.013633376	6.67E-06	0.000103689	0.000994122	0.000748642	0.00024477	0.001764384	5.41E-18	8.42E-18	0.000288801	0.038005197	0.000846575	0.000544275	6.58E-18	1.18E-06	4.64E-08	0.002004008
3:Ins:R:0	ins.3.rep.0	3.06E-07	5.78E-05	9.60E-05	2.63E-05	0.003792478	0.001219185	0	0.000667863	0.000254573	0.018103905	9.08E-18	0.01515014	8.21E-05	0.006623497	6.58E-18	0.000570589	0.019583137	0.004008016
3:Ins:R:1	ins.3.rep.1	0.000254695	0.00122705	0.000286144	0.000450983	0.006122761	0.000288615	5.51E-06	0.000671723	0.000823355	0.055211908	0.000207083	0.000869573	0.003688328	0.0025232	6.58E-18	0.001092184	0.112273274	0
3:Ins:R:2	ins.3.rep.2	4.41E-05	0.000210075	9.75E-05	0.000600335	0.001143468	0.000746533	5.47E-05	0.000135768	0.000118261	0.009432034	0.000221526	0.000183891	0.000202511	0.000204501	6.58E-18	0.000281271	0.038874479	0
3:Ins:R:3	ins.3.rep.3	0.000166702	3.02E-06	1.36E-05	7.42E-05	1.02E-05	0.000249737	0.000177833	3.79E-05	5.18E-06	0.000461099	2.18E-05	8.70E-05	2.37E-05	0.000327493	6.58E-18	3.18E-05	1.39E-08	0
3:Ins:R:4	ins.3.rep.4	8.89E-05	0.000141807	1.56E-06	7.40E-05	1.18E-05	0.000155952	0.000415609	0.000122041	1.61E-05	0.00018704	9.08E-18	0.000340788	3.49E-06	0.00060186	6.58E-18	7.56E-05	2.84E-08	0
3:Ins:R:5	ins.3.rep.5+	0.001248696	0.001864707	4.12E-18	3.96E-05	0.000102574	1.98E-05	0.000769276	3.66E-05	5.41E-18	0.00018504	9.01E-05	0.002840312	3.54E-05	0.002205997	6.58E-18	2.29E-05	2.78E-08	0
4:Ins:R:0	ins.4.rep.0	3.31E-18	1.68E-05	4.12E-18	0.000166645	0.002439186	0.001467917	0	0.000777758	0.000164387	0.016003452	0.000159621	0.005701178	0.001118797	0.00594693	6.58E-18	0.00032756	0.014692452	0
4:Ins:R:1	ins.4.rep.1	0.000744381	0.001203728	0.000175982	0.001266435	0.003612298	0.000476283	2.61E-05	0.001103901	0.000715565	0.074616092	0.000377636	0.001908886	0.002691635	0.001326926	6.58E-18	0.001506978	0.210245111	0.002004008
4:Ins:R:2	ins.4.rep.2	7.55E-05	1.22E-05	2.74E-05	9.84E-05	0.000376459	0.000528663	0.000194817	7.99E-05	4.24E-05	0.004090882	9.08E-18	0.00021849	6.93E-05	8.45E-05	6.58E-18	4.50E-05	0.009749097	0
4:Ins:R:3	ins.4.rep.3	0.000157544	0.000134169	4.77E-05	5.25E-05	1.87E-06	0.000334824	0.000273742	8.58E-06	2.15E-05	0.000239052	9.08E-18	0.000176569	6.39E-07	0.000713852	1.36E-06	3.02E-07	1.86E-08	0
4:Ins:R:4	ins.4.rep.4	0.000319653	0.000249385	4.18E-06	0.000146911	6.41E-06	5.60E-05	0.000258757	0.000205515	5.41E-18	0.002280492	9.08E-18	0.000636053	1.21E-05	0.00166501	1.45E-06	9.40E-06	9.68E-09	0
4:Ins:R:5	ins.4.rep.5+	0.00100132	0.002193545	3.29E-05	0.000135205	0.000635977	0.000106861	8.74E-06	0.000885225	2.18E-06	0.013802977	9.08E-18	0.011670537	3.14E-07	0.000274449	6.58E-18	2.66E-18	1.17E-08	0
5:Ins:R:0	ins.5+.rep.0	3.31E-18	3.95E-18	8.83E-05	8.58E-05	0.004750071	0.008716781	0	0.000318329	0.000165846	0.049210613	0.00066606	0.013790645	0.002590231	0.002712141	6.58E-18	0.001172587	0.014673882	0.012024048
5:Ins:R:1	ins.5+.rep.1	0.001443126	0.000135658	0.00065622	0.002135852	0.004793431	0.005405643	0	0.009761114	0.001253996	0.278059971	0.00115191	0.003834265	0.013501952	0.026455525	6.58E-18	0.001101192	0.004919532	0.002004008
5:Ins:R:2	ins.5+.rep.2	0.000254832	5.53E-06	5.51E-06	0.000222027	0.000298796	0.001321843	8.84E-06	0.000101153	0.000102849	0.009221989	0.000366007	0.002130016	4.59E-05	0.000488313	1.18E-06	8.28E-07	4.64E-08	0
5:Ins:R:3	ins.5+.rep.3	0.000237087	9.77E-05	3.32E-05	7.59E-06	0.000165546	2.88E-05	4.46E-06	7.09E-05	8.02E-05	0.003660789	8.34E-07	0.002660489	4.61E-05	0.000103831	1.62E-06	2.66E-18	4.76E-08	0
5:Ins:R:4	ins.5+.rep.4	0.000261865	2.15E-06	7.87E-06	2.53E-05	0.000126707	4.83E-05	1.06E-05	6.74E-06	5.05E-05	0.00334072	2.25E-06	0.001592407	2.43E-06	0.000157593	6.58E-18	2.66E-18	3.96E-08	0
5:Ins:R:5	ins.5+.rep.5+	0.000119834	0.000115629	3.48E-06	0.000160229	0.000626342	6.17E-05	4.28E-06	0.000190551	9.89E-06	0.002740591	1.84E-06	0.00613607	4.33E-05	2.15E-05	6.58E-18	2.65E-18	4.48E-08	0
2:Del:M:1	del.2.mh.1	0.001197815	0.000175553	0.006930764	0.18899749	0.028687946	0.000632866	0.003127058	0.004913672	0.003900972	0.000638138	0.000382064	0.002653503	0.008872408	0.002640925	6.58E-18	0.001374201	0.003668966	0.018036072
3:Del:M:1	del.3.mh.1	8.19E-05	5.46E-07	0.000344612	0.007034156	0.013157147	0.000990097	0.00025476	0.009290337	0.003011328	0.003960854	0.000200443	0.010328352	0.001140083	0.001575173	6.58E-18	0.00076447	0.004887304	0
3:Del:M:2	del.3.mh.2	0.001479593	0.002944063	0.00030285	0.049416601	0.00900421	0.00443363	0.004635639	0.004302693	0.001543302	0.019304164	0.000301744	0.006061158	0.000450306	0.003236935	6.58E-18	0.000980364	0.003681076	0
4:Del:M:1	del.4.mh.1	8.38E-05	0.000147005	7.35E-05	0.010981719	0.008732202	0.002745395	0.000183827	0.005809551	0.001927721	0.000179039	9.08E-18	0.003771718	0.001270798	8.20E-06	6.58E-18	0.000504718	0.010979731	0.006012024
4:Del:M:2	del.4.mh.2	0.000145479	0.000550614	0.000340216	0.029483877	0.006047187	0.00868271	0.001019041	0.001591587	0.003297448	0.000387083	9.08E-18	0.004573153	0.000159723	0.000950493	6.58E-18	0.0004098	0.004890442	0
4:Del:M:3	del.4.mh.3	0.000160684	0.000693566	0.000130463	0.04886664	0.003442442	0.004773094	0.000717325	0.001098342	0.002544079	8.22E-05	0.000789868	0.000525263	0.000270578	0.002230434	6.58E-18	0.000402368	0.003659617	0
5:Del:M:1	del.5+.mh.1	8.16E-07	0.000624963	0.001369634	0.000453121	0.008617073	0.071066579	2.36E-05	0.280724261	3.54E-05	0.001330287	0.000282794	0.000563378	0.011740777	0.006551706	0.000660877	0.005362049	0.020771328	0.03006012
5:Del:M:2	del.5+.mh.2	2.38E-10	0.000117708	0.001751272	0.000136232	0.007851021	0.253108347	0.000245769	0.123610163	0.000221236	0.000124027	0.000372771	1.42E-17	0.007055421	0.004498634	0.000432409	0.005021715	0.012290058	0.022044088
5:Del:M:3	del.5+.mh.3	2.33E-12	5.67E-05	0.000774958	0.001112236	0.007157975	0.216806032	6.16E-05	0.046130408	0.000570907	5.65E-05	0.000750127	0.000323568	0.002165984	0.001404487	0.000266126	0.00333884	0.008596258	0.006012024
5:Del:M:4	del.5+.mh.4	3.88E-05	0.000462842	0.000640555	0.003652946	0.002492549	0.120483943	6.82E-05	0.016367256	0.000448308	0.000104022	0.000130278	0.000277663	0.000281736	0.000100143	0.000247928	0.001329897	0.004897913	0.004008016
5:Del:M:5	del.5+.mh.5+	0.000665116	0.002367319	0.00036297	4.56E-05	0.001112367	0.099282999	0.001738365	0.012814882	5.41E-18	0.041408931	0.000518955	0.006657973	0.013131907	0.000931512	0.000139829	0.001601629	0.006075636	0
2:Ins:M:1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3:Ins:M:1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3:Ins:M:2	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Ins:M:1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Ins:M:2	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Ins:M:3	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Ins:M:1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Ins:M:2	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Ins:M:3	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Ins:M:4	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Ins:M:5	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
