sample_num	Bone/Soft tissue: Osteosarcoma	Lung: Small cell	Skin: Other	actual_class
48	3.69E-05	0.756772598	0.000380737	Lung: Small cell
49	0.00011918	0.882734504	0.000178446	Lung: Small cell
50	7.01E-05	0.001166655	0.624377156	Skin: Other
51	6.35E-05	0.953756425	0.000204704	Lung: Small cell
52	7.43E-05	0.989022525	2.29E-05	Lung: Small cell
53	0.834743194	0.005572352	0.002119296	Bone/Soft tissue: Osteosarcoma
54	0.071085711	0.026134068	0.029282861	Bone/Soft tissue: Osteosarcoma
55	0.136742495	0.000579985	0.088281091	Bone/Soft tissue: Osteosarcoma
56	0.808716961	0.000284964	0.002504745	Bone/Soft tissue: Osteosarcoma
57	0.000262082	0.000334789	0.970388977	Skin: Other
58	0.000301145	0.010853563	0.440472204	Skin: Other
59	0.399357146	0.000252087	0.005425718	Bone/Soft tissue: Osteosarcoma
60	0.000298123	0.000300636	0.822412135	Skin: Other
61	6.01E-05	0.343588453	0.006437686	Lung: Small cell
62	0.000119138	0.000631621	0.542832167	Skin: Other
63	3.70E-05	0.586335585	0.000106924	Lung: Small cell
64	0.562607035	0.003000006	0.010839196	Bone/Soft tissue: Osteosarcoma
65	0.82607479	0.000299217	0.008981997	Bone/Soft tissue: Osteosarcoma
66	0.768255082	0.000865649	0.005216625	Bone/Soft tissue: Osteosarcoma
67	0.5742816	0.004948355	0.010098816	Bone/Soft tissue: Osteosarcoma
68	0.004728845	0.067998136	0.079406934	Skin: Other
69	0.672142524	0.003633158	0.011567372	Bone/Soft tissue: Osteosarcoma
70	9.09E-05	0.700666098	0.000404791	Lung: Small cell
71	0.484286514	0.001988545	0.001755499	Bone/Soft tissue: Osteosarcoma
72	0.000329571	0.965348025	3.26E-05	Lung: Small cell
73	0.028554076	0.019331978	0.057725362	Skin: Other
74	0.001755305	0.004812516	0.001259237	Skin: Other
75	0.209342375	0.001686548	0.028671749	Bone/Soft tissue: Osteosarcoma
76	0.396738931	0.004815111	0.01827301	Bone/Soft tissue: Osteosarcoma
77	0.000109516	8.77E-05	0.916790133	Skin: Other
78	0.058179295	0.027431626	0.010926764	Bone/Soft tissue: Osteosarcoma
79	0.001581818	0.089889561	0.583370326	Skin: Other
80	0.030637378	0.000708638	0.003370376	Bone/Soft tissue: Osteosarcoma
81	1.75E-05	8.79E-05	0.963672988	Skin: Other
82	0.426958123	0.00263084	0.027228544	Bone/Soft tissue: Osteosarcoma
83	0.02239743	0.006357812	0.06850539	Skin: Other
84	7.89E-05	0.000257919	0.086576579	Skin: Other
85	0.005369364	0.014313676	0.011408134	Skin: Other
86	3.25E-05	0.940439763	5.71E-05	Lung: Small cell
87	0.001793778	0.14116702	0.006772829	Lung: Small cell
88	0.600586092	0.004716803	0.010659772	Bone/Soft tissue: Osteosarcoma
89	1.07E-05	0.962344317	2.00E-05	Lung: Small cell
90	8.11E-06	0.989219553	8.40E-05	Lung: Small cell
91	0.003385086	0.026578667	0.024355375	Skin: Other
92	0.296118528	0.007879319	0.017128802	Bone/Soft tissue: Osteosarcoma
93	0.003164192	0.117263748	0.130120911	Skin: Other
94	4.54E-05	0.934210269	0.003841511	Lung: Small cell
95	0.257134863	0.003846339	0.011212676	Bone/Soft tissue: Osteosarcoma
96	0.00038488	0.987836767	8.22E-05	Lung: Small cell
97	1.60E-05	0.000888354	0.989708201	Skin: Other
98	0.000167475	0.778227066	0.002600942	Lung: Small cell
99	1.51E-05	4.53E-05	0.992574856	Skin: Other
100	0.000193785	0.921832465	0.000317351	Lung: Small cell
